Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.96000%
Time:    1.92 sec, Epoch:    2, Testing error: 3.74000%
Time:    3.84 sec, Epoch:    3, Testing error: 3.41000%
Time:    5.75 sec, Epoch:    4, Testing error: 3.18000%
Time:    7.67 sec, Epoch:    5, Testing error: 3.06000%
Time:    9.58 sec, Epoch:    6, Testing error: 2.94000%
Time:   11.49 sec, Epoch:    7, Testing error: 2.89000%
Time:   13.40 sec, Epoch:    8, Testing error: 2.75000%
Time:   15.31 sec, Epoch:    9, Testing error: 2.78000%
Time:   17.22 sec, Epoch:   10, Testing error: 2.75000%
Time:   19.14 sec, Epoch:   11, Testing error: 2.73000%
Time:   21.07 sec, Epoch:   12, Testing error: 2.74000%
Time:   22.98 sec, Epoch:   13, Testing error: 2.69000%
Time:   24.89 sec, Epoch:   14, Testing error: 2.69000%
Time:   26.80 sec, Epoch:   15, Testing error: 2.68000%
Time:   28.71 sec, Epoch:   16, Testing error: 2.69000%
Time:   30.62 sec, Epoch:   17, Testing error: 2.69000%
Time:   32.53 sec, Epoch:   18, Testing error: 2.70000%
Time:   34.44 sec, Epoch:   19, Testing error: 2.63000%
Time:   36.36 sec, Epoch:   20, Testing error: 2.64000%
Time:   38.27 sec, Epoch:   21, Testing error: 2.62000%
Time:   40.18 sec, Epoch:   22, Testing error: 2.63000%
Time:   42.09 sec, Epoch:   23, Testing error: 2.63000%
Time:   44.00 sec, Epoch:   24, Testing error: 2.65000%
Time:   45.91 sec, Epoch:   25, Testing error: 2.68000%
Time:   47.82 sec, Epoch:   26, Testing error: 2.64000%
Time:   49.73 sec, Epoch:   27, Testing error: 2.63000%
Time:   51.64 sec, Epoch:   28, Testing error: 2.63000%
Time:   53.55 sec, Epoch:   29, Testing error: 2.62000%
Time:   55.46 sec, Epoch:   30, Testing error: 2.63000%
Time:   57.37 sec, Epoch:   31, Testing error: 2.64000%
Time:   59.28 sec, Epoch:   32, Testing error: 2.64000%
Time:   61.19 sec, Epoch:   33, Testing error: 2.62000%
Time:   63.10 sec, Epoch:   34, Testing error: 2.65000%
Time:   65.01 sec, Epoch:   35, Testing error: 2.66000%
Time:   66.92 sec, Epoch:   36, Testing error: 2.68000%
Time:   68.84 sec, Epoch:   37, Testing error: 2.62000%
Time:   70.74 sec, Epoch:   38, Testing error: 2.66000%
Time:   72.65 sec, Epoch:   39, Testing error: 2.63000%
Time:   74.56 sec, Epoch:   40, Testing error: 2.65000%
Time:   76.47 sec, Epoch:   41, Testing error: 2.62000%
Time:   78.38 sec, Epoch:   42, Testing error: 2.62000%
Time:   80.29 sec, Epoch:   43, Testing error: 2.65000%
Time:   82.20 sec, Epoch:   44, Testing error: 2.62000%
Time:   84.11 sec, Epoch:   45, Testing error: 2.65000%
Time:   86.02 sec, Epoch:   46, Testing error: 2.64000%
Time:   87.93 sec, Epoch:   47, Testing error: 2.62000%
Time:   89.84 sec, Epoch:   48, Testing error: 2.63000%
Time:   91.75 sec, Epoch:   49, Testing error: 2.63000%
Time:   93.66 sec, Epoch:   50, Testing error: 2.62000%
Time:   95.57 sec, Epoch:   51, Testing error: 2.62000%
Time:   97.48 sec, Epoch:   52, Testing error: 2.61000%
Time:   99.39 sec, Epoch:   53, Testing error: 2.60000%
Time:  101.30 sec, Epoch:   54, Testing error: 2.61000%
Time:  103.21 sec, Epoch:   55, Testing error: 2.61000%
Time:  105.12 sec, Epoch:   56, Testing error: 2.61000%
Time:  107.03 sec, Epoch:   57, Testing error: 2.62000%
Time:  108.93 sec, Epoch:   58, Testing error: 2.59000%
Time:  110.84 sec, Epoch:   59, Testing error: 2.63000%
Time:  112.75 sec, Epoch:   60, Testing error: 2.62000%
Time:  114.66 sec, Epoch:   61, Testing error: 2.62000%
Time:  116.57 sec, Epoch:   62, Testing error: 2.60000%
Time:  118.48 sec, Epoch:   63, Testing error: 2.61000%
Time:  120.40 sec, Epoch:   64, Testing error: 2.62000%
Time:  122.30 sec, Epoch:   65, Testing error: 2.61000%
Time:  124.22 sec, Epoch:   66, Testing error: 2.61000%
Time:  126.12 sec, Epoch:   67, Testing error: 2.60000%
Time:  128.03 sec, Epoch:   68, Testing error: 2.64000%
Time:  129.94 sec, Epoch:   69, Testing error: 2.63000%
Time:  131.85 sec, Epoch:   70, Testing error: 2.61000%
Time:  133.76 sec, Epoch:   71, Testing error: 2.60000%
Time:  135.67 sec, Epoch:   72, Testing error: 2.60000%
Time:  137.58 sec, Epoch:   73, Testing error: 2.58000%
Time:  139.49 sec, Epoch:   74, Testing error: 2.62000%
Time:  141.40 sec, Epoch:   75, Testing error: 2.60000%
Time:  143.31 sec, Epoch:   76, Testing error: 2.60000%
Time:  145.22 sec, Epoch:   77, Testing error: 2.60000%
Time:  147.12 sec, Epoch:   78, Testing error: 2.60000%
Time:  149.03 sec, Epoch:   79, Testing error: 2.62000%
Time:  150.94 sec, Epoch:   80, Testing error: 2.60000%
Time:  152.85 sec, Epoch:   81, Testing error: 2.62000%
Time:  154.76 sec, Epoch:   82, Testing error: 2.58000%
Time:  156.67 sec, Epoch:   83, Testing error: 2.62000%
Time:  158.58 sec, Epoch:   84, Testing error: 2.58000%
Time:  160.48 sec, Epoch:   85, Testing error: 2.60000%
Time:  162.39 sec, Epoch:   86, Testing error: 2.60000%
Time:  164.30 sec, Epoch:   87, Testing error: 2.62000%
Time:  166.21 sec, Epoch:   88, Testing error: 2.61000%
Time:  168.12 sec, Epoch:   89, Testing error: 2.60000%
Time:  170.03 sec, Epoch:   90, Testing error: 2.59000%
Time:  171.94 sec, Epoch:   91, Testing error: 2.60000%
Time:  173.85 sec, Epoch:   92, Testing error: 2.63000%
Time:  175.75 sec, Epoch:   93, Testing error: 2.60000%
Time:  177.66 sec, Epoch:   94, Testing error: 2.58000%
Time:  179.57 sec, Epoch:   95, Testing error: 2.61000%
Time:  181.48 sec, Epoch:   96, Testing error: 2.61000%
