Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.65000%
Time:    1.95 sec, Epoch:    2, Testing error: 3.44000%
Time:    3.88 sec, Epoch:    3, Testing error: 2.96000%
Time:    5.80 sec, Epoch:    4, Testing error: 2.63000%
Time:    7.73 sec, Epoch:    5, Testing error: 2.47000%
Time:    9.67 sec, Epoch:    6, Testing error: 2.29000%
Time:   11.59 sec, Epoch:    7, Testing error: 2.20000%
Time:   13.52 sec, Epoch:    8, Testing error: 2.13000%
Time:   15.44 sec, Epoch:    9, Testing error: 2.11000%
Time:   17.37 sec, Epoch:   10, Testing error: 2.05000%
Time:   19.29 sec, Epoch:   11, Testing error: 2.02000%
Time:   21.21 sec, Epoch:   12, Testing error: 1.97000%
Time:   23.14 sec, Epoch:   13, Testing error: 1.96000%
Time:   25.06 sec, Epoch:   14, Testing error: 1.95000%
Time:   26.99 sec, Epoch:   15, Testing error: 1.94000%
Time:   28.91 sec, Epoch:   16, Testing error: 1.95000%
Time:   30.86 sec, Epoch:   17, Testing error: 1.94000%
Time:   32.81 sec, Epoch:   18, Testing error: 1.94000%
Time:   34.74 sec, Epoch:   19, Testing error: 1.93000%
Time:   36.67 sec, Epoch:   20, Testing error: 1.90000%
Time:   38.59 sec, Epoch:   21, Testing error: 1.92000%
Time:   40.52 sec, Epoch:   22, Testing error: 1.91000%
Time:   42.45 sec, Epoch:   23, Testing error: 1.92000%
Time:   44.39 sec, Epoch:   24, Testing error: 1.94000%
Time:   46.34 sec, Epoch:   25, Testing error: 1.93000%
Time:   48.27 sec, Epoch:   26, Testing error: 1.94000%
Time:   50.19 sec, Epoch:   27, Testing error: 1.92000%
Time:   52.12 sec, Epoch:   28, Testing error: 1.94000%
Time:   54.04 sec, Epoch:   29, Testing error: 1.95000%
Time:   55.98 sec, Epoch:   30, Testing error: 1.92000%
Time:   57.91 sec, Epoch:   31, Testing error: 1.93000%
Time:   59.83 sec, Epoch:   32, Testing error: 1.91000%
Time:   61.76 sec, Epoch:   33, Testing error: 1.92000%
Time:   63.69 sec, Epoch:   34, Testing error: 1.93000%
Time:   65.62 sec, Epoch:   35, Testing error: 1.90000%
Time:   67.55 sec, Epoch:   36, Testing error: 1.93000%
Time:   69.47 sec, Epoch:   37, Testing error: 1.92000%
Time:   71.40 sec, Epoch:   38, Testing error: 1.91000%
Time:   73.33 sec, Epoch:   39, Testing error: 1.94000%
Time:   75.25 sec, Epoch:   40, Testing error: 1.93000%
Time:   77.18 sec, Epoch:   41, Testing error: 1.90000%
Time:   79.11 sec, Epoch:   42, Testing error: 1.89000%
Time:   81.05 sec, Epoch:   43, Testing error: 1.94000%
Time:   82.97 sec, Epoch:   44, Testing error: 1.92000%
Time:   84.89 sec, Epoch:   45, Testing error: 1.91000%
Time:   86.81 sec, Epoch:   46, Testing error: 1.92000%
Time:   88.74 sec, Epoch:   47, Testing error: 1.89000%
Time:   90.67 sec, Epoch:   48, Testing error: 1.91000%
Time:   92.60 sec, Epoch:   49, Testing error: 1.92000%
Time:   94.52 sec, Epoch:   50, Testing error: 1.90000%
Time:   96.45 sec, Epoch:   51, Testing error: 1.92000%
Time:   98.38 sec, Epoch:   52, Testing error: 1.93000%
Time:  100.31 sec, Epoch:   53, Testing error: 1.89000%
Time:  102.23 sec, Epoch:   54, Testing error: 1.90000%
Time:  104.16 sec, Epoch:   55, Testing error: 1.87000%
Time:  106.09 sec, Epoch:   56, Testing error: 1.92000%
Time:  108.01 sec, Epoch:   57, Testing error: 1.90000%
Time:  109.93 sec, Epoch:   58, Testing error: 1.93000%
Time:  111.86 sec, Epoch:   59, Testing error: 1.89000%
Time:  113.79 sec, Epoch:   60, Testing error: 1.89000%
Time:  115.71 sec, Epoch:   61, Testing error: 1.89000%
Time:  117.63 sec, Epoch:   62, Testing error: 1.90000%
Time:  119.56 sec, Epoch:   63, Testing error: 1.87000%
Time:  121.48 sec, Epoch:   64, Testing error: 1.91000%
Time:  123.40 sec, Epoch:   65, Testing error: 1.92000%
Time:  125.33 sec, Epoch:   66, Testing error: 1.88000%
Time:  127.25 sec, Epoch:   67, Testing error: 1.88000%
