Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.75000%
Time:    1.92 sec, Epoch:    2, Testing error: 3.56000%
Time:    3.84 sec, Epoch:    3, Testing error: 3.01000%
Time:    5.76 sec, Epoch:    4, Testing error: 2.66000%
Time:    7.68 sec, Epoch:    5, Testing error: 2.42000%
Time:    9.60 sec, Epoch:    6, Testing error: 2.32000%
Time:   11.51 sec, Epoch:    7, Testing error: 2.22000%
Time:   13.43 sec, Epoch:    8, Testing error: 2.23000%
Time:   15.35 sec, Epoch:    9, Testing error: 2.20000%
Time:   17.27 sec, Epoch:   10, Testing error: 2.17000%
Time:   19.19 sec, Epoch:   11, Testing error: 2.13000%
Time:   21.11 sec, Epoch:   12, Testing error: 2.09000%
Time:   23.03 sec, Epoch:   13, Testing error: 2.08000%
Time:   24.95 sec, Epoch:   14, Testing error: 2.05000%
Time:   26.89 sec, Epoch:   15, Testing error: 2.06000%
Time:   28.81 sec, Epoch:   16, Testing error: 2.04000%
Time:   30.72 sec, Epoch:   17, Testing error: 2.02000%
Time:   32.64 sec, Epoch:   18, Testing error: 1.96000%
Time:   34.56 sec, Epoch:   19, Testing error: 1.94000%
Time:   36.48 sec, Epoch:   20, Testing error: 1.91000%
Time:   38.40 sec, Epoch:   21, Testing error: 1.91000%
Time:   40.31 sec, Epoch:   22, Testing error: 1.88000%
Time:   42.23 sec, Epoch:   23, Testing error: 1.85000%
Time:   44.15 sec, Epoch:   24, Testing error: 1.85000%
Time:   46.07 sec, Epoch:   25, Testing error: 1.83000%
Time:   47.98 sec, Epoch:   26, Testing error: 1.84000%
Time:   49.90 sec, Epoch:   27, Testing error: 1.83000%
Time:   51.82 sec, Epoch:   28, Testing error: 1.84000%
Time:   53.74 sec, Epoch:   29, Testing error: 1.84000%
Time:   55.65 sec, Epoch:   30, Testing error: 1.85000%
Time:   57.57 sec, Epoch:   31, Testing error: 1.84000%
Time:   59.49 sec, Epoch:   32, Testing error: 1.85000%
Time:   61.41 sec, Epoch:   33, Testing error: 1.86000%
Time:   63.33 sec, Epoch:   34, Testing error: 1.85000%
Time:   65.24 sec, Epoch:   35, Testing error: 1.86000%
Time:   67.16 sec, Epoch:   36, Testing error: 1.86000%
Time:   69.08 sec, Epoch:   37, Testing error: 1.87000%
Time:   71.00 sec, Epoch:   38, Testing error: 1.86000%
Time:   72.92 sec, Epoch:   39, Testing error: 1.86000%
Time:   74.83 sec, Epoch:   40, Testing error: 1.86000%
Time:   76.75 sec, Epoch:   41, Testing error: 1.85000%
Time:   78.67 sec, Epoch:   42, Testing error: 1.85000%
Time:   80.58 sec, Epoch:   43, Testing error: 1.83000%
Time:   82.50 sec, Epoch:   44, Testing error: 1.83000%
Time:   84.42 sec, Epoch:   45, Testing error: 1.83000%
Time:   86.34 sec, Epoch:   46, Testing error: 1.83000%
Time:   88.26 sec, Epoch:   47, Testing error: 1.82000%
Time:   90.17 sec, Epoch:   48, Testing error: 1.82000%
Time:   92.09 sec, Epoch:   49, Testing error: 1.83000%
Time:   94.01 sec, Epoch:   50, Testing error: 1.81000%
Time:   95.93 sec, Epoch:   51, Testing error: 1.81000%
Time:   97.84 sec, Epoch:   52, Testing error: 1.81000%
Time:   99.76 sec, Epoch:   53, Testing error: 1.81000%
Time:  101.68 sec, Epoch:   54, Testing error: 1.81000%
Time:  103.59 sec, Epoch:   55, Testing error: 1.81000%
Time:  105.51 sec, Epoch:   56, Testing error: 1.81000%
Time:  107.43 sec, Epoch:   57, Testing error: 1.81000%
Time:  109.35 sec, Epoch:   58, Testing error: 1.81000%
Time:  111.26 sec, Epoch:   59, Testing error: 1.81000%
Time:  113.18 sec, Epoch:   60, Testing error: 1.82000%
Time:  115.10 sec, Epoch:   61, Testing error: 1.83000%
Time:  117.01 sec, Epoch:   62, Testing error: 1.82000%
Time:  118.93 sec, Epoch:   63, Testing error: 1.83000%
Time:  120.85 sec, Epoch:   64, Testing error: 1.83000%
Time:  122.77 sec, Epoch:   65, Testing error: 1.82000%
Time:  124.68 sec, Epoch:   66, Testing error: 1.82000%
Time:  126.60 sec, Epoch:   67, Testing error: 1.81000%
Time:  128.52 sec, Epoch:   68, Testing error: 1.81000%
Time:  130.43 sec, Epoch:   69, Testing error: 1.81000%
Time:  132.35 sec, Epoch:   70, Testing error: 1.80000%
Time:  134.27 sec, Epoch:   71, Testing error: 1.81000%
Time:  136.19 sec, Epoch:   72, Testing error: 1.81000%
Time:  138.11 sec, Epoch:   73, Testing error: 1.82000%
Time:  140.03 sec, Epoch:   74, Testing error: 1.82000%
Time:  141.95 sec, Epoch:   75, Testing error: 1.82000%
Time:  143.86 sec, Epoch:   76, Testing error: 1.81000%
Time:  145.78 sec, Epoch:   77, Testing error: 1.81000%
Time:  147.70 sec, Epoch:   78, Testing error: 1.82000%
Time:  149.62 sec, Epoch:   79, Testing error: 1.82000%
Time:  151.53 sec, Epoch:   80, Testing error: 1.82000%
Time:  153.45 sec, Epoch:   81, Testing error: 1.82000%
Time:  155.37 sec, Epoch:   82, Testing error: 1.81000%
Time:  157.29 sec, Epoch:   83, Testing error: 1.82000%
Time:  159.21 sec, Epoch:   84, Testing error: 1.81000%
Time:  161.12 sec, Epoch:   85, Testing error: 1.81000%
Time:  163.04 sec, Epoch:   86, Testing error: 1.81000%
Time:  164.96 sec, Epoch:   87, Testing error: 1.81000%
Time:  166.88 sec, Epoch:   88, Testing error: 1.81000%
Time:  168.79 sec, Epoch:   89, Testing error: 1.81000%
Time:  170.71 sec, Epoch:   90, Testing error: 1.81000%
Time:  172.63 sec, Epoch:   91, Testing error: 1.81000%
Time:  174.55 sec, Epoch:   92, Testing error: 1.81000%
