Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 7.79000%
Time:    1.92 sec, Epoch:    2, Testing error: 5.10000%
Time:    3.84 sec, Epoch:    3, Testing error: 4.03000%
Time:    5.75 sec, Epoch:    4, Testing error: 3.50000%
Time:    7.66 sec, Epoch:    5, Testing error: 3.01000%
Time:    9.58 sec, Epoch:    6, Testing error: 2.84000%
Time:   11.49 sec, Epoch:    7, Testing error: 2.68000%
Time:   13.40 sec, Epoch:    8, Testing error: 2.52000%
Time:   15.32 sec, Epoch:    9, Testing error: 2.47000%
Time:   17.23 sec, Epoch:   10, Testing error: 2.41000%
Time:   19.14 sec, Epoch:   11, Testing error: 2.32000%
Time:   21.06 sec, Epoch:   12, Testing error: 2.31000%
Time:   22.97 sec, Epoch:   13, Testing error: 2.23000%
Time:   24.88 sec, Epoch:   14, Testing error: 2.21000%
Time:   26.80 sec, Epoch:   15, Testing error: 2.21000%
Time:   28.71 sec, Epoch:   16, Testing error: 2.20000%
Time:   30.62 sec, Epoch:   17, Testing error: 2.20000%
Time:   32.53 sec, Epoch:   18, Testing error: 2.18000%
Time:   34.45 sec, Epoch:   19, Testing error: 2.17000%
Time:   36.36 sec, Epoch:   20, Testing error: 2.14000%
Time:   38.28 sec, Epoch:   21, Testing error: 2.10000%
Time:   40.20 sec, Epoch:   22, Testing error: 2.02000%
Time:   42.12 sec, Epoch:   23, Testing error: 1.97000%
Time:   44.03 sec, Epoch:   24, Testing error: 1.97000%
Time:   45.95 sec, Epoch:   25, Testing error: 1.92000%
Time:   47.86 sec, Epoch:   26, Testing error: 1.92000%
Time:   49.78 sec, Epoch:   27, Testing error: 1.90000%
Time:   51.69 sec, Epoch:   28, Testing error: 1.87000%
Time:   53.60 sec, Epoch:   29, Testing error: 1.86000%
Time:   55.51 sec, Epoch:   30, Testing error: 1.82000%
Time:   57.43 sec, Epoch:   31, Testing error: 1.82000%
Time:   59.34 sec, Epoch:   32, Testing error: 1.81000%
Time:   61.25 sec, Epoch:   33, Testing error: 1.81000%
Time:   63.16 sec, Epoch:   34, Testing error: 1.80000%
