Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.78000%
Time:    1.94 sec, Epoch:    2, Testing error: 3.41000%
Time:    3.87 sec, Epoch:    3, Testing error: 2.81000%
Time:    5.80 sec, Epoch:    4, Testing error: 2.59000%
Time:    7.72 sec, Epoch:    5, Testing error: 2.44000%
Time:    9.65 sec, Epoch:    6, Testing error: 2.33000%
Time:   11.58 sec, Epoch:    7, Testing error: 2.26000%
Time:   13.51 sec, Epoch:    8, Testing error: 2.20000%
Time:   15.44 sec, Epoch:    9, Testing error: 2.16000%
Time:   17.37 sec, Epoch:   10, Testing error: 2.17000%
Time:   19.30 sec, Epoch:   11, Testing error: 2.12000%
Time:   21.23 sec, Epoch:   12, Testing error: 2.02000%
Time:   23.15 sec, Epoch:   13, Testing error: 2.05000%
Time:   25.08 sec, Epoch:   14, Testing error: 2.02000%
Time:   27.01 sec, Epoch:   15, Testing error: 1.98000%
Time:   28.94 sec, Epoch:   16, Testing error: 1.97000%
Time:   30.86 sec, Epoch:   17, Testing error: 1.99000%
Time:   32.79 sec, Epoch:   18, Testing error: 1.97000%
Time:   34.72 sec, Epoch:   19, Testing error: 1.95000%
Time:   36.65 sec, Epoch:   20, Testing error: 1.98000%
Time:   38.58 sec, Epoch:   21, Testing error: 1.96000%
Time:   40.50 sec, Epoch:   22, Testing error: 1.95000%
Time:   42.43 sec, Epoch:   23, Testing error: 1.98000%
Time:   44.36 sec, Epoch:   24, Testing error: 1.95000%
Time:   46.28 sec, Epoch:   25, Testing error: 1.97000%
Time:   48.21 sec, Epoch:   26, Testing error: 1.96000%
Time:   50.14 sec, Epoch:   27, Testing error: 1.96000%
Time:   52.06 sec, Epoch:   28, Testing error: 1.94000%
Time:   53.99 sec, Epoch:   29, Testing error: 1.94000%
Time:   55.92 sec, Epoch:   30, Testing error: 1.93000%
Time:   57.85 sec, Epoch:   31, Testing error: 1.93000%
Time:   59.77 sec, Epoch:   32, Testing error: 1.93000%
Time:   61.70 sec, Epoch:   33, Testing error: 1.92000%
Time:   63.63 sec, Epoch:   34, Testing error: 1.93000%
Time:   65.56 sec, Epoch:   35, Testing error: 1.90000%
Time:   67.48 sec, Epoch:   36, Testing error: 1.91000%
Time:   69.41 sec, Epoch:   37, Testing error: 1.89000%
Time:   71.34 sec, Epoch:   38, Testing error: 1.89000%
Time:   73.27 sec, Epoch:   39, Testing error: 1.88000%
Time:   75.20 sec, Epoch:   40, Testing error: 1.86000%
Time:   77.12 sec, Epoch:   41, Testing error: 1.90000%
Time:   79.05 sec, Epoch:   42, Testing error: 1.87000%
Time:   80.98 sec, Epoch:   43, Testing error: 1.89000%
Time:   82.91 sec, Epoch:   44, Testing error: 1.88000%
Time:   84.83 sec, Epoch:   45, Testing error: 1.86000%
Time:   86.76 sec, Epoch:   46, Testing error: 1.89000%
Time:   88.69 sec, Epoch:   47, Testing error: 1.87000%
Time:   90.62 sec, Epoch:   48, Testing error: 1.86000%
Time:   92.55 sec, Epoch:   49, Testing error: 1.86000%
Time:   94.47 sec, Epoch:   50, Testing error: 1.85000%
Time:   96.40 sec, Epoch:   51, Testing error: 1.90000%
Time:   98.33 sec, Epoch:   52, Testing error: 1.86000%
Time:  100.26 sec, Epoch:   53, Testing error: 1.86000%
Time:  102.18 sec, Epoch:   54, Testing error: 1.87000%
Time:  104.11 sec, Epoch:   55, Testing error: 1.87000%
Time:  106.04 sec, Epoch:   56, Testing error: 1.86000%
Time:  107.96 sec, Epoch:   57, Testing error: 1.88000%
Time:  109.89 sec, Epoch:   58, Testing error: 1.89000%
Time:  111.82 sec, Epoch:   59, Testing error: 1.84000%
Time:  113.75 sec, Epoch:   60, Testing error: 1.88000%
Time:  115.67 sec, Epoch:   61, Testing error: 1.84000%
Time:  117.60 sec, Epoch:   62, Testing error: 1.87000%
Time:  119.53 sec, Epoch:   63, Testing error: 1.85000%
Time:  121.46 sec, Epoch:   64, Testing error: 1.88000%
Time:  123.38 sec, Epoch:   65, Testing error: 1.87000%
Time:  125.31 sec, Epoch:   66, Testing error: 1.87000%
Time:  127.24 sec, Epoch:   67, Testing error: 1.88000%
Time:  129.17 sec, Epoch:   68, Testing error: 1.87000%
Time:  131.10 sec, Epoch:   69, Testing error: 1.85000%
Time:  133.02 sec, Epoch:   70, Testing error: 1.90000%
Time:  134.95 sec, Epoch:   71, Testing error: 1.86000%
