Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.74000%
Time:    1.93 sec, Epoch:    2, Testing error: 3.34000%
Time:    3.85 sec, Epoch:    3, Testing error: 2.87000%
Time:    5.79 sec, Epoch:    4, Testing error: 2.64000%
Time:    7.71 sec, Epoch:    5, Testing error: 2.37000%
Time:    9.63 sec, Epoch:    6, Testing error: 2.29000%
Time:   11.55 sec, Epoch:    7, Testing error: 2.19000%
Time:   13.47 sec, Epoch:    8, Testing error: 2.14000%
Time:   15.39 sec, Epoch:    9, Testing error: 2.12000%
Time:   17.31 sec, Epoch:   10, Testing error: 2.11000%
Time:   19.23 sec, Epoch:   11, Testing error: 2.09000%
Time:   21.16 sec, Epoch:   12, Testing error: 2.06000%
Time:   23.08 sec, Epoch:   13, Testing error: 2.05000%
Time:   25.00 sec, Epoch:   14, Testing error: 2.04000%
Time:   26.92 sec, Epoch:   15, Testing error: 2.03000%
Time:   28.84 sec, Epoch:   16, Testing error: 2.00000%
Time:   30.75 sec, Epoch:   17, Testing error: 1.98000%
Time:   32.67 sec, Epoch:   18, Testing error: 1.99000%
Time:   34.59 sec, Epoch:   19, Testing error: 1.94000%
Time:   36.51 sec, Epoch:   20, Testing error: 1.94000%
Time:   38.43 sec, Epoch:   21, Testing error: 1.92000%
Time:   40.35 sec, Epoch:   22, Testing error: 1.88000%
Time:   42.27 sec, Epoch:   23, Testing error: 1.87000%
Time:   44.19 sec, Epoch:   24, Testing error: 1.83000%
Time:   46.11 sec, Epoch:   25, Testing error: 1.86000%
Time:   48.02 sec, Epoch:   26, Testing error: 1.82000%
Time:   49.94 sec, Epoch:   27, Testing error: 1.79000%
Time:   51.86 sec, Epoch:   28, Testing error: 1.79000%
Time:   53.78 sec, Epoch:   29, Testing error: 1.79000%
Time:   55.70 sec, Epoch:   30, Testing error: 1.78000%
Time:   57.61 sec, Epoch:   31, Testing error: 1.77000%
Time:   59.53 sec, Epoch:   32, Testing error: 1.76000%
Time:   61.45 sec, Epoch:   33, Testing error: 1.77000%
Time:   63.37 sec, Epoch:   34, Testing error: 1.76000%
Time:   65.29 sec, Epoch:   35, Testing error: 1.78000%
Time:   67.21 sec, Epoch:   36, Testing error: 1.77000%
Time:   69.13 sec, Epoch:   37, Testing error: 1.78000%
Time:   71.05 sec, Epoch:   38, Testing error: 1.76000%
Time:   72.97 sec, Epoch:   39, Testing error: 1.78000%
Time:   74.88 sec, Epoch:   40, Testing error: 1.77000%
Time:   76.80 sec, Epoch:   41, Testing error: 1.78000%
Time:   78.72 sec, Epoch:   42, Testing error: 1.77000%
Time:   80.64 sec, Epoch:   43, Testing error: 1.76000%
Time:   82.56 sec, Epoch:   44, Testing error: 1.76000%
Time:   84.48 sec, Epoch:   45, Testing error: 1.77000%
Time:   86.40 sec, Epoch:   46, Testing error: 1.74000%
Time:   88.32 sec, Epoch:   47, Testing error: 1.75000%
Time:   90.23 sec, Epoch:   48, Testing error: 1.76000%
Time:   92.15 sec, Epoch:   49, Testing error: 1.73000%
Time:   94.07 sec, Epoch:   50, Testing error: 1.70000%
Time:   95.99 sec, Epoch:   51, Testing error: 1.74000%
Time:   97.91 sec, Epoch:   52, Testing error: 1.70000%
Time:   99.83 sec, Epoch:   53, Testing error: 1.74000%
Time:  101.74 sec, Epoch:   54, Testing error: 1.73000%
Time:  103.66 sec, Epoch:   55, Testing error: 1.72000%
Time:  105.58 sec, Epoch:   56, Testing error: 1.73000%
Time:  107.50 sec, Epoch:   57, Testing error: 1.72000%
Time:  109.42 sec, Epoch:   58, Testing error: 1.74000%
Time:  111.34 sec, Epoch:   59, Testing error: 1.74000%
Time:  113.25 sec, Epoch:   60, Testing error: 1.75000%
Time:  115.17 sec, Epoch:   61, Testing error: 1.76000%
Time:  117.09 sec, Epoch:   62, Testing error: 1.75000%
Time:  119.01 sec, Epoch:   63, Testing error: 1.72000%
Time:  120.93 sec, Epoch:   64, Testing error: 1.77000%
Time:  122.84 sec, Epoch:   65, Testing error: 1.76000%
Time:  124.76 sec, Epoch:   66, Testing error: 1.76000%
Time:  126.68 sec, Epoch:   67, Testing error: 1.75000%
Time:  128.60 sec, Epoch:   68, Testing error: 1.73000%
Time:  130.52 sec, Epoch:   69, Testing error: 1.76000%
Time:  132.44 sec, Epoch:   70, Testing error: 1.73000%
Time:  134.35 sec, Epoch:   71, Testing error: 1.74000%
Time:  136.27 sec, Epoch:   72, Testing error: 1.72000%
Time:  138.19 sec, Epoch:   73, Testing error: 1.73000%
Time:  140.11 sec, Epoch:   74, Testing error: 1.74000%
Time:  142.03 sec, Epoch:   75, Testing error: 1.75000%
Time:  143.95 sec, Epoch:   76, Testing error: 1.73000%
Time:  145.86 sec, Epoch:   77, Testing error: 1.74000%
Time:  147.78 sec, Epoch:   78, Testing error: 1.74000%
Time:  149.70 sec, Epoch:   79, Testing error: 1.76000%
Time:  151.62 sec, Epoch:   80, Testing error: 1.74000%
Time:  153.54 sec, Epoch:   81, Testing error: 1.75000%
Time:  155.46 sec, Epoch:   82, Testing error: 1.72000%
Time:  157.37 sec, Epoch:   83, Testing error: 1.73000%
Time:  159.29 sec, Epoch:   84, Testing error: 1.72000%
Time:  161.21 sec, Epoch:   85, Testing error: 1.74000%
Time:  163.13 sec, Epoch:   86, Testing error: 1.74000%
Time:  165.05 sec, Epoch:   87, Testing error: 1.73000%
Time:  166.97 sec, Epoch:   88, Testing error: 1.74000%
Time:  168.89 sec, Epoch:   89, Testing error: 1.73000%
Time:  170.81 sec, Epoch:   90, Testing error: 1.74000%
Time:  172.73 sec, Epoch:   91, Testing error: 1.73000%
Time:  174.65 sec, Epoch:   92, Testing error: 1.73000%
Time:  176.57 sec, Epoch:   93, Testing error: 1.72000%
Time:  178.48 sec, Epoch:   94, Testing error: 1.73000%
Time:  180.40 sec, Epoch:   95, Testing error: 1.73000%
Time:  182.32 sec, Epoch:   96, Testing error: 1.72000%
Time:  184.24 sec, Epoch:   97, Testing error: 1.72000%
Time:  186.16 sec, Epoch:   98, Testing error: 1.68000%
Time:  188.08 sec, Epoch:   99, Testing error: 1.74000%
Time:  189.99 sec, Epoch:  100, Testing error: 1.68000%
Time:  191.91 sec, Epoch:  101, Testing error: 1.70000%
Time:  193.83 sec, Epoch:  102, Testing error: 1.73000%
Time:  195.75 sec, Epoch:  103, Testing error: 1.69000%
Time:  197.66 sec, Epoch:  104, Testing error: 1.73000%
Time:  199.58 sec, Epoch:  105, Testing error: 1.69000%
Time:  201.50 sec, Epoch:  106, Testing error: 1.69000%
Time:  203.42 sec, Epoch:  107, Testing error: 1.70000%
Time:  205.34 sec, Epoch:  108, Testing error: 1.69000%
