Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 5.01000%
Time:    1.94 sec, Epoch:    2, Testing error: 3.77000%
Time:    3.87 sec, Epoch:    3, Testing error: 3.40000%
Time:    5.81 sec, Epoch:    4, Testing error: 3.15000%
Time:    7.74 sec, Epoch:    5, Testing error: 2.96000%
Time:    9.67 sec, Epoch:    6, Testing error: 2.91000%
Time:   11.60 sec, Epoch:    7, Testing error: 2.86000%
Time:   13.54 sec, Epoch:    8, Testing error: 2.86000%
Time:   15.47 sec, Epoch:    9, Testing error: 2.82000%
Time:   17.40 sec, Epoch:   10, Testing error: 2.79000%
Time:   19.33 sec, Epoch:   11, Testing error: 2.76000%
Time:   21.26 sec, Epoch:   12, Testing error: 2.75000%
Time:   23.20 sec, Epoch:   13, Testing error: 2.70000%
Time:   25.13 sec, Epoch:   14, Testing error: 2.70000%
Time:   27.06 sec, Epoch:   15, Testing error: 2.72000%
Time:   28.99 sec, Epoch:   16, Testing error: 2.70000%
Time:   30.92 sec, Epoch:   17, Testing error: 2.70000%
Time:   32.86 sec, Epoch:   18, Testing error: 2.68000%
Time:   34.79 sec, Epoch:   19, Testing error: 2.67000%
Time:   36.72 sec, Epoch:   20, Testing error: 2.65000%
Time:   38.65 sec, Epoch:   21, Testing error: 2.63000%
Time:   40.58 sec, Epoch:   22, Testing error: 2.62000%
Time:   42.51 sec, Epoch:   23, Testing error: 2.61000%
Time:   44.45 sec, Epoch:   24, Testing error: 2.59000%
Time:   46.38 sec, Epoch:   25, Testing error: 2.64000%
Time:   48.31 sec, Epoch:   26, Testing error: 2.57000%
Time:   50.24 sec, Epoch:   27, Testing error: 2.61000%
Time:   52.17 sec, Epoch:   28, Testing error: 2.59000%
Time:   54.11 sec, Epoch:   29, Testing error: 2.60000%
Time:   56.04 sec, Epoch:   30, Testing error: 2.59000%
Time:   57.97 sec, Epoch:   31, Testing error: 2.58000%
Time:   59.90 sec, Epoch:   32, Testing error: 2.58000%
Time:   61.83 sec, Epoch:   33, Testing error: 2.58000%
Time:   63.76 sec, Epoch:   34, Testing error: 2.61000%
Time:   65.69 sec, Epoch:   35, Testing error: 2.60000%
Time:   67.63 sec, Epoch:   36, Testing error: 2.62000%
Time:   69.56 sec, Epoch:   37, Testing error: 2.59000%
Time:   71.49 sec, Epoch:   38, Testing error: 2.57000%
Time:   73.42 sec, Epoch:   39, Testing error: 2.59000%
Time:   75.35 sec, Epoch:   40, Testing error: 2.57000%
Time:   77.28 sec, Epoch:   41, Testing error: 2.59000%
Time:   79.21 sec, Epoch:   42, Testing error: 2.58000%
Time:   81.14 sec, Epoch:   43, Testing error: 2.59000%
Time:   83.07 sec, Epoch:   44, Testing error: 2.58000%
Time:   85.01 sec, Epoch:   45, Testing error: 2.55000%
Time:   86.94 sec, Epoch:   46, Testing error: 2.57000%
Time:   88.87 sec, Epoch:   47, Testing error: 2.57000%
Time:   90.80 sec, Epoch:   48, Testing error: 2.59000%
Time:   92.73 sec, Epoch:   49, Testing error: 2.55000%
Time:   94.66 sec, Epoch:   50, Testing error: 2.56000%
Time:   96.59 sec, Epoch:   51, Testing error: 2.56000%
Time:   98.52 sec, Epoch:   52, Testing error: 2.57000%
Time:  100.45 sec, Epoch:   53, Testing error: 2.56000%
Time:  102.39 sec, Epoch:   54, Testing error: 2.57000%
Time:  104.32 sec, Epoch:   55, Testing error: 2.58000%
Time:  106.25 sec, Epoch:   56, Testing error: 2.60000%
Time:  108.18 sec, Epoch:   57, Testing error: 2.61000%
Time:  110.11 sec, Epoch:   58, Testing error: 2.60000%
Time:  112.04 sec, Epoch:   59, Testing error: 2.58000%
Time:  113.97 sec, Epoch:   60, Testing error: 2.58000%
Time:  115.90 sec, Epoch:   61, Testing error: 2.60000%
Time:  117.83 sec, Epoch:   62, Testing error: 2.56000%
Time:  119.76 sec, Epoch:   63, Testing error: 2.60000%
Time:  121.69 sec, Epoch:   64, Testing error: 2.60000%
Time:  123.62 sec, Epoch:   65, Testing error: 2.60000%
Time:  125.55 sec, Epoch:   66, Testing error: 2.57000%
Time:  127.48 sec, Epoch:   67, Testing error: 2.59000%
Time:  129.42 sec, Epoch:   68, Testing error: 2.58000%
Time:  131.35 sec, Epoch:   69, Testing error: 2.55000%
Time:  133.28 sec, Epoch:   70, Testing error: 2.59000%
Time:  135.21 sec, Epoch:   71, Testing error: 2.59000%
Time:  137.14 sec, Epoch:   72, Testing error: 2.57000%
Time:  139.07 sec, Epoch:   73, Testing error: 2.55000%
Time:  141.00 sec, Epoch:   74, Testing error: 2.57000%
Time:  142.93 sec, Epoch:   75, Testing error: 2.56000%
Time:  144.86 sec, Epoch:   76, Testing error: 2.56000%
Time:  146.80 sec, Epoch:   77, Testing error: 2.56000%
Time:  148.72 sec, Epoch:   78, Testing error: 2.58000%
Time:  150.66 sec, Epoch:   79, Testing error: 2.54000%
Time:  152.59 sec, Epoch:   80, Testing error: 2.55000%
Time:  154.52 sec, Epoch:   81, Testing error: 2.54000%
Time:  156.45 sec, Epoch:   82, Testing error: 2.56000%
Time:  158.38 sec, Epoch:   83, Testing error: 2.52000%
Time:  160.31 sec, Epoch:   84, Testing error: 2.53000%
Time:  162.24 sec, Epoch:   85, Testing error: 2.55000%
Time:  164.17 sec, Epoch:   86, Testing error: 2.54000%
Time:  166.10 sec, Epoch:   87, Testing error: 2.54000%
Time:  168.04 sec, Epoch:   88, Testing error: 2.52000%
Time:  169.97 sec, Epoch:   89, Testing error: 2.54000%
Time:  171.90 sec, Epoch:   90, Testing error: 2.55000%
Time:  173.83 sec, Epoch:   91, Testing error: 2.54000%
Time:  175.76 sec, Epoch:   92, Testing error: 2.53000%
Time:  177.69 sec, Epoch:   93, Testing error: 2.57000%
Time:  179.62 sec, Epoch:   94, Testing error: 2.58000%
Time:  181.55 sec, Epoch:   95, Testing error: 2.53000%
Time:  183.48 sec, Epoch:   96, Testing error: 2.53000%
Time:  185.41 sec, Epoch:   97, Testing error: 2.54000%
Time:  187.34 sec, Epoch:   98, Testing error: 2.52000%
Time:  189.27 sec, Epoch:   99, Testing error: 2.56000%
Time:  191.20 sec, Epoch:  100, Testing error: 2.50000%
Time:  193.14 sec, Epoch:  101, Testing error: 2.54000%
Time:  195.07 sec, Epoch:  102, Testing error: 2.55000%
Time:  197.00 sec, Epoch:  103, Testing error: 2.54000%
Time:  198.93 sec, Epoch:  104, Testing error: 2.54000%
Time:  200.86 sec, Epoch:  105, Testing error: 2.54000%
Time:  202.79 sec, Epoch:  106, Testing error: 2.55000%
Time:  204.72 sec, Epoch:  107, Testing error: 2.56000%
Time:  206.66 sec, Epoch:  108, Testing error: 2.55000%
Time:  208.59 sec, Epoch:  109, Testing error: 2.53000%
Time:  210.52 sec, Epoch:  110, Testing error: 2.48000%
Time:  212.45 sec, Epoch:  111, Testing error: 2.54000%
Time:  214.38 sec, Epoch:  112, Testing error: 2.51000%
Time:  216.31 sec, Epoch:  113, Testing error: 2.55000%
Time:  218.24 sec, Epoch:  114, Testing error: 2.54000%
Time:  220.18 sec, Epoch:  115, Testing error: 2.52000%
Time:  222.11 sec, Epoch:  116, Testing error: 2.51000%
Time:  224.04 sec, Epoch:  117, Testing error: 2.54000%
Time:  225.97 sec, Epoch:  118, Testing error: 2.52000%
Time:  227.90 sec, Epoch:  119, Testing error: 2.50000%
Time:  229.83 sec, Epoch:  120, Testing error: 2.55000%
Time:  231.76 sec, Epoch:  121, Testing error: 2.53000%
Time:  233.69 sec, Epoch:  122, Testing error: 2.52000%
Time:  235.62 sec, Epoch:  123, Testing error: 2.52000%
Time:  237.55 sec, Epoch:  124, Testing error: 2.51000%
Time:  239.49 sec, Epoch:  125, Testing error: 2.53000%
Time:  241.42 sec, Epoch:  126, Testing error: 2.54000%
