Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.81000%
Time:    1.96 sec, Epoch:    2, Testing error: 3.46000%
Time:    3.90 sec, Epoch:    3, Testing error: 2.87000%
Time:    5.83 sec, Epoch:    4, Testing error: 2.49000%
Time:    7.77 sec, Epoch:    5, Testing error: 2.35000%
Time:    9.71 sec, Epoch:    6, Testing error: 2.29000%
Time:   11.64 sec, Epoch:    7, Testing error: 2.30000%
Time:   13.58 sec, Epoch:    8, Testing error: 2.26000%
Time:   15.51 sec, Epoch:    9, Testing error: 2.23000%
Time:   17.45 sec, Epoch:   10, Testing error: 2.19000%
Time:   19.38 sec, Epoch:   11, Testing error: 2.17000%
Time:   21.32 sec, Epoch:   12, Testing error: 2.18000%
Time:   23.25 sec, Epoch:   13, Testing error: 2.10000%
Time:   25.19 sec, Epoch:   14, Testing error: 2.13000%
Time:   27.12 sec, Epoch:   15, Testing error: 2.08000%
Time:   29.06 sec, Epoch:   16, Testing error: 2.06000%
Time:   30.99 sec, Epoch:   17, Testing error: 2.07000%
Time:   32.93 sec, Epoch:   18, Testing error: 2.07000%
Time:   34.87 sec, Epoch:   19, Testing error: 2.04000%
Time:   36.80 sec, Epoch:   20, Testing error: 2.04000%
Time:   38.74 sec, Epoch:   21, Testing error: 2.03000%
Time:   40.68 sec, Epoch:   22, Testing error: 2.04000%
Time:   42.63 sec, Epoch:   23, Testing error: 2.02000%
Time:   44.57 sec, Epoch:   24, Testing error: 2.01000%
Time:   46.51 sec, Epoch:   25, Testing error: 2.01000%
Time:   48.44 sec, Epoch:   26, Testing error: 2.00000%
Time:   50.38 sec, Epoch:   27, Testing error: 2.01000%
Time:   52.32 sec, Epoch:   28, Testing error: 2.04000%
Time:   54.26 sec, Epoch:   29, Testing error: 1.99000%
Time:   56.20 sec, Epoch:   30, Testing error: 1.99000%
Time:   58.14 sec, Epoch:   31, Testing error: 1.98000%
Time:   60.08 sec, Epoch:   32, Testing error: 1.97000%
Time:   62.02 sec, Epoch:   33, Testing error: 1.96000%
Time:   63.96 sec, Epoch:   34, Testing error: 1.96000%
Time:   65.90 sec, Epoch:   35, Testing error: 1.95000%
Time:   67.84 sec, Epoch:   36, Testing error: 1.95000%
Time:   69.78 sec, Epoch:   37, Testing error: 1.98000%
Time:   71.72 sec, Epoch:   38, Testing error: 1.96000%
Time:   73.66 sec, Epoch:   39, Testing error: 1.97000%
Time:   75.60 sec, Epoch:   40, Testing error: 1.94000%
Time:   77.54 sec, Epoch:   41, Testing error: 1.93000%
Time:   79.48 sec, Epoch:   42, Testing error: 1.95000%
Time:   81.42 sec, Epoch:   43, Testing error: 1.96000%
Time:   83.35 sec, Epoch:   44, Testing error: 1.94000%
Time:   85.29 sec, Epoch:   45, Testing error: 1.93000%
Time:   87.23 sec, Epoch:   46, Testing error: 1.94000%
Time:   89.17 sec, Epoch:   47, Testing error: 1.96000%
Time:   91.11 sec, Epoch:   48, Testing error: 1.93000%
Time:   93.05 sec, Epoch:   49, Testing error: 1.92000%
Time:   94.99 sec, Epoch:   50, Testing error: 1.94000%
Time:   96.92 sec, Epoch:   51, Testing error: 1.92000%
Time:   98.86 sec, Epoch:   52, Testing error: 1.91000%
Time:  100.80 sec, Epoch:   53, Testing error: 1.92000%
Time:  102.73 sec, Epoch:   54, Testing error: 1.94000%
Time:  104.67 sec, Epoch:   55, Testing error: 1.92000%
Time:  106.61 sec, Epoch:   56, Testing error: 1.90000%
Time:  108.54 sec, Epoch:   57, Testing error: 1.90000%
Time:  110.48 sec, Epoch:   58, Testing error: 1.92000%
Time:  112.41 sec, Epoch:   59, Testing error: 1.87000%
Time:  114.34 sec, Epoch:   60, Testing error: 1.86000%
Time:  116.28 sec, Epoch:   61, Testing error: 1.88000%
Time:  118.21 sec, Epoch:   62, Testing error: 1.87000%
Time:  120.15 sec, Epoch:   63, Testing error: 1.85000%
Time:  122.09 sec, Epoch:   64, Testing error: 1.84000%
Time:  124.02 sec, Epoch:   65, Testing error: 1.84000%
Time:  125.96 sec, Epoch:   66, Testing error: 1.82000%
Time:  127.90 sec, Epoch:   67, Testing error: 1.85000%
Time:  129.83 sec, Epoch:   68, Testing error: 1.84000%
Time:  131.76 sec, Epoch:   69, Testing error: 1.80000%
Time:  133.70 sec, Epoch:   70, Testing error: 1.86000%
Time:  135.64 sec, Epoch:   71, Testing error: 1.85000%
Time:  137.57 sec, Epoch:   72, Testing error: 1.82000%
Time:  139.51 sec, Epoch:   73, Testing error: 1.83000%
Time:  141.44 sec, Epoch:   74, Testing error: 1.81000%
Time:  143.38 sec, Epoch:   75, Testing error: 1.82000%
Time:  145.31 sec, Epoch:   76, Testing error: 1.83000%
Time:  147.25 sec, Epoch:   77, Testing error: 1.82000%
Time:  149.19 sec, Epoch:   78, Testing error: 1.80000%
Time:  151.12 sec, Epoch:   79, Testing error: 1.81000%
Time:  153.06 sec, Epoch:   80, Testing error: 1.84000%
Time:  155.00 sec, Epoch:   81, Testing error: 1.83000%
Time:  156.93 sec, Epoch:   82, Testing error: 1.82000%
Time:  158.87 sec, Epoch:   83, Testing error: 1.84000%
Time:  160.80 sec, Epoch:   84, Testing error: 1.83000%
Time:  162.74 sec, Epoch:   85, Testing error: 1.83000%
Time:  164.68 sec, Epoch:   86, Testing error: 1.81000%
Time:  166.61 sec, Epoch:   87, Testing error: 1.84000%
Time:  168.55 sec, Epoch:   88, Testing error: 1.82000%
Time:  170.49 sec, Epoch:   89, Testing error: 1.81000%
Time:  172.42 sec, Epoch:   90, Testing error: 1.85000%
Time:  174.35 sec, Epoch:   91, Testing error: 1.83000%
Time:  176.29 sec, Epoch:   92, Testing error: 1.84000%
Time:  178.23 sec, Epoch:   93, Testing error: 1.83000%
Time:  180.16 sec, Epoch:   94, Testing error: 1.80000%
Time:  182.10 sec, Epoch:   95, Testing error: 1.82000%
Time:  184.03 sec, Epoch:   96, Testing error: 1.81000%
Time:  185.97 sec, Epoch:   97, Testing error: 1.83000%
Time:  187.90 sec, Epoch:   98, Testing error: 1.82000%
Time:  189.84 sec, Epoch:   99, Testing error: 1.83000%
Time:  191.78 sec, Epoch:  100, Testing error: 1.81000%
Time:  193.71 sec, Epoch:  101, Testing error: 1.82000%
Time:  195.65 sec, Epoch:  102, Testing error: 1.82000%
Time:  197.58 sec, Epoch:  103, Testing error: 1.80000%
Time:  199.52 sec, Epoch:  104, Testing error: 1.80000%
Time:  201.45 sec, Epoch:  105, Testing error: 1.79000%
Time:  203.39 sec, Epoch:  106, Testing error: 1.82000%
Time:  205.33 sec, Epoch:  107, Testing error: 1.82000%
Time:  207.26 sec, Epoch:  108, Testing error: 1.77000%
Time:  209.20 sec, Epoch:  109, Testing error: 1.79000%
Time:  211.14 sec, Epoch:  110, Testing error: 1.80000%
Time:  213.07 sec, Epoch:  111, Testing error: 1.82000%
Time:  215.01 sec, Epoch:  112, Testing error: 1.81000%
Time:  216.95 sec, Epoch:  113, Testing error: 1.81000%
Time:  218.88 sec, Epoch:  114, Testing error: 1.80000%
Time:  220.82 sec, Epoch:  115, Testing error: 1.83000%
Time:  222.75 sec, Epoch:  116, Testing error: 1.82000%
Time:  224.70 sec, Epoch:  117, Testing error: 1.81000%
Time:  226.64 sec, Epoch:  118, Testing error: 1.80000%
Time:  228.57 sec, Epoch:  119, Testing error: 1.82000%
Time:  230.51 sec, Epoch:  120, Testing error: 1.82000%
Time:  232.45 sec, Epoch:  121, Testing error: 1.79000%
Time:  234.38 sec, Epoch:  122, Testing error: 1.82000%
Time:  236.31 sec, Epoch:  123, Testing error: 1.82000%
Time:  238.25 sec, Epoch:  124, Testing error: 1.81000%
Time:  240.19 sec, Epoch:  125, Testing error: 1.82000%
Time:  242.12 sec, Epoch:  126, Testing error: 1.82000%
Time:  244.06 sec, Epoch:  127, Testing error: 1.80000%
Time:  246.00 sec, Epoch:  128, Testing error: 1.80000%
Time:  247.93 sec, Epoch:  129, Testing error: 1.80000%
Time:  249.87 sec, Epoch:  130, Testing error: 1.81000%
Time:  251.80 sec, Epoch:  131, Testing error: 1.81000%
Time:  253.74 sec, Epoch:  132, Testing error: 1.80000%
Time:  255.67 sec, Epoch:  133, Testing error: 1.79000%
Time:  257.61 sec, Epoch:  134, Testing error: 1.80000%
Time:  259.54 sec, Epoch:  135, Testing error: 1.80000%
Time:  261.48 sec, Epoch:  136, Testing error: 1.82000%
Time:  263.41 sec, Epoch:  137, Testing error: 1.81000%
Time:  265.35 sec, Epoch:  138, Testing error: 1.80000%
Time:  267.28 sec, Epoch:  139, Testing error: 1.80000%
Time:  269.22 sec, Epoch:  140, Testing error: 1.81000%
Time:  271.15 sec, Epoch:  141, Testing error: 1.82000%
Time:  273.09 sec, Epoch:  142, Testing error: 1.81000%
Time:  275.02 sec, Epoch:  143, Testing error: 1.81000%
Time:  276.96 sec, Epoch:  144, Testing error: 1.80000%
Time:  278.90 sec, Epoch:  145, Testing error: 1.82000%
Time:  280.83 sec, Epoch:  146, Testing error: 1.81000%
Time:  282.77 sec, Epoch:  147, Testing error: 1.83000%
Time:  284.70 sec, Epoch:  148, Testing error: 1.79000%
