Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.80000%
Time:    4.33 sec, Epoch:    2, Testing error: 3.22000%
Time:    8.44 sec, Epoch:    3, Testing error: 2.72000%
Time:   12.55 sec, Epoch:    4, Testing error: 2.62000%
Time:   16.67 sec, Epoch:    5, Testing error: 2.26000%
Time:   20.79 sec, Epoch:    6, Testing error: 2.02000%
Time:   24.90 sec, Epoch:    7, Testing error: 2.00000%
Time:   29.02 sec, Epoch:    8, Testing error: 1.92000%
Time:   33.13 sec, Epoch:    9, Testing error: 1.84000%
Time:   37.24 sec, Epoch:   10, Testing error: 1.92000%
Time:   41.36 sec, Epoch:   11, Testing error: 1.76000%
Time:   45.47 sec, Epoch:   12, Testing error: 1.65000%
Time:   49.59 sec, Epoch:   13, Testing error: 1.85000%
Time:   53.70 sec, Epoch:   14, Testing error: 1.78000%
Time:   57.82 sec, Epoch:   15, Testing error: 1.69000%
Time:   61.95 sec, Epoch:   16, Testing error: 1.53000%
Time:   66.13 sec, Epoch:   17, Testing error: 1.72000%
Time:   70.27 sec, Epoch:   18, Testing error: 1.60000%
Time:   74.46 sec, Epoch:   19, Testing error: 1.49000%
Time:   78.60 sec, Epoch:   20, Testing error: 1.62000%
Time:   82.78 sec, Epoch:   21, Testing error: 1.45000%
Time:   86.92 sec, Epoch:   22, Testing error: 1.53000%
Time:   91.06 sec, Epoch:   23, Testing error: 1.60000%
Time:   95.19 sec, Epoch:   24, Testing error: 1.52000%
Time:   99.32 sec, Epoch:   25, Testing error: 1.40000%
Time:  103.45 sec, Epoch:   26, Testing error: 1.58000%
Time:  107.59 sec, Epoch:   27, Testing error: 1.31000%
Time:  111.72 sec, Epoch:   28, Testing error: 1.43000%
Time:  115.85 sec, Epoch:   29, Testing error: 1.44000%
Time:  119.98 sec, Epoch:   30, Testing error: 1.40000%
Time:  124.10 sec, Epoch:   31, Testing error: 1.40000%
Time:  128.22 sec, Epoch:   32, Testing error: 1.39000%
Time:  132.34 sec, Epoch:   33, Testing error: 1.45000%
Time:  136.46 sec, Epoch:   34, Testing error: 1.53000%
Time:  140.58 sec, Epoch:   35, Testing error: 1.36000%
Time:  144.69 sec, Epoch:   36, Testing error: 1.46000%
Time:  148.81 sec, Epoch:   37, Testing error: 1.44000%
Time:  152.95 sec, Epoch:   38, Testing error: 1.33000%
Time:  157.07 sec, Epoch:   39, Testing error: 1.33000%
Time:  161.20 sec, Epoch:   40, Testing error: 1.41000%
Time:  165.32 sec, Epoch:   41, Testing error: 1.50000%
Time:  169.45 sec, Epoch:   42, Testing error: 1.44000%
Time:  173.57 sec, Epoch:   43, Testing error: 1.44000%
Time:  177.69 sec, Epoch:   44, Testing error: 1.37000%
Time:  181.83 sec, Epoch:   45, Testing error: 1.40000%
Time:  185.99 sec, Epoch:   46, Testing error: 1.37000%
Time:  190.17 sec, Epoch:   47, Testing error: 1.29000%
Time:  194.33 sec, Epoch:   48, Testing error: 1.33000%
Time:  198.49 sec, Epoch:   49, Testing error: 1.44000%
Time:  202.62 sec, Epoch:   50, Testing error: 1.43000%
Time:  206.75 sec, Epoch:   51, Testing error: 1.33000%
Time:  210.89 sec, Epoch:   52, Testing error: 1.38000%
Time:  215.01 sec, Epoch:   53, Testing error: 1.42000%
