Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 5.45000%
Time:    4.26 sec, Epoch:    2, Testing error: 4.16000%
Time:    8.32 sec, Epoch:    3, Testing error: 3.90000%
Time:   12.40 sec, Epoch:    4, Testing error: 3.31000%
Time:   16.46 sec, Epoch:    5, Testing error: 3.29000%
Time:   20.51 sec, Epoch:    6, Testing error: 3.03000%
Time:   24.57 sec, Epoch:    7, Testing error: 3.06000%
Time:   28.62 sec, Epoch:    8, Testing error: 3.00000%
Time:   32.67 sec, Epoch:    9, Testing error: 2.92000%
Time:   36.72 sec, Epoch:   10, Testing error: 2.72000%
Time:   40.78 sec, Epoch:   11, Testing error: 2.62000%
Time:   44.84 sec, Epoch:   12, Testing error: 2.64000%
Time:   48.89 sec, Epoch:   13, Testing error: 2.57000%
Time:   52.98 sec, Epoch:   14, Testing error: 2.94000%
Time:   57.03 sec, Epoch:   15, Testing error: 2.64000%
Time:   61.09 sec, Epoch:   16, Testing error: 2.44000%
Time:   65.15 sec, Epoch:   17, Testing error: 2.44000%
Time:   69.20 sec, Epoch:   18, Testing error: 2.50000%
Time:   73.26 sec, Epoch:   19, Testing error: 2.60000%
Time:   77.31 sec, Epoch:   20, Testing error: 2.34000%
Time:   81.37 sec, Epoch:   21, Testing error: 2.40000%
Time:   85.42 sec, Epoch:   22, Testing error: 2.40000%
Time:   89.48 sec, Epoch:   23, Testing error: 2.45000%
Time:   93.53 sec, Epoch:   24, Testing error: 2.37000%
Time:   97.59 sec, Epoch:   25, Testing error: 2.29000%
Time:  101.64 sec, Epoch:   26, Testing error: 2.34000%
Time:  105.69 sec, Epoch:   27, Testing error: 2.16000%
Time:  109.75 sec, Epoch:   28, Testing error: 2.41000%
Time:  113.80 sec, Epoch:   29, Testing error: 2.19000%
Time:  117.86 sec, Epoch:   30, Testing error: 2.23000%
Time:  121.91 sec, Epoch:   31, Testing error: 2.14000%
Time:  125.97 sec, Epoch:   32, Testing error: 2.43000%
Time:  130.02 sec, Epoch:   33, Testing error: 2.34000%
Time:  134.08 sec, Epoch:   34, Testing error: 2.28000%
Time:  138.13 sec, Epoch:   35, Testing error: 2.29000%
Time:  142.18 sec, Epoch:   36, Testing error: 2.55000%
Time:  146.24 sec, Epoch:   37, Testing error: 2.39000%
Time:  150.30 sec, Epoch:   38, Testing error: 2.24000%
Time:  154.35 sec, Epoch:   39, Testing error: 2.26000%
Time:  158.40 sec, Epoch:   40, Testing error: 2.21000%
Time:  162.46 sec, Epoch:   41, Testing error: 2.30000%
Time:  166.51 sec, Epoch:   42, Testing error: 2.15000%
Time:  170.57 sec, Epoch:   43, Testing error: 2.08000%
Time:  174.62 sec, Epoch:   44, Testing error: 2.48000%
Time:  178.67 sec, Epoch:   45, Testing error: 2.20000%
Time:  182.73 sec, Epoch:   46, Testing error: 2.20000%
Time:  186.78 sec, Epoch:   47, Testing error: 2.26000%
Time:  190.84 sec, Epoch:   48, Testing error: 2.01000%
Time:  194.90 sec, Epoch:   49, Testing error: 2.17000%
Time:  198.95 sec, Epoch:   50, Testing error: 2.10000%
