Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 8.88000%
Time:    1.92 sec, Epoch:    2, Testing error: 7.58000%
Time:    3.83 sec, Epoch:    3, Testing error: 6.77000%
Time:    5.75 sec, Epoch:    4, Testing error: 5.90000%
Time:    7.66 sec, Epoch:    5, Testing error: 5.20000%
Time:    9.58 sec, Epoch:    6, Testing error: 4.64000%
Time:   11.50 sec, Epoch:    7, Testing error: 4.27000%
Time:   13.41 sec, Epoch:    8, Testing error: 3.96000%
Time:   15.32 sec, Epoch:    9, Testing error: 3.84000%
Time:   17.24 sec, Epoch:   10, Testing error: 3.61000%
Time:   19.15 sec, Epoch:   11, Testing error: 3.43000%
Time:   21.07 sec, Epoch:   12, Testing error: 3.33000%
Time:   22.98 sec, Epoch:   13, Testing error: 3.22000%
Time:   24.90 sec, Epoch:   14, Testing error: 3.09000%
Time:   26.82 sec, Epoch:   15, Testing error: 2.94000%
Time:   28.74 sec, Epoch:   16, Testing error: 2.87000%
Time:   30.66 sec, Epoch:   17, Testing error: 2.80000%
Time:   32.57 sec, Epoch:   18, Testing error: 2.77000%
Time:   34.48 sec, Epoch:   19, Testing error: 2.72000%
Time:   36.40 sec, Epoch:   20, Testing error: 2.64000%
Time:   38.31 sec, Epoch:   21, Testing error: 2.59000%
Time:   40.23 sec, Epoch:   22, Testing error: 2.57000%
Time:   42.14 sec, Epoch:   23, Testing error: 2.53000%
Time:   44.06 sec, Epoch:   24, Testing error: 2.48000%
Time:   45.97 sec, Epoch:   25, Testing error: 2.44000%
Time:   47.89 sec, Epoch:   26, Testing error: 2.40000%
Time:   49.80 sec, Epoch:   27, Testing error: 2.40000%
Time:   51.72 sec, Epoch:   28, Testing error: 2.37000%
Time:   53.63 sec, Epoch:   29, Testing error: 2.36000%
Time:   55.55 sec, Epoch:   30, Testing error: 2.33000%
Time:   57.46 sec, Epoch:   31, Testing error: 2.31000%
Time:   59.37 sec, Epoch:   32, Testing error: 2.29000%
Time:   61.29 sec, Epoch:   33, Testing error: 2.27000%
Time:   63.20 sec, Epoch:   34, Testing error: 2.24000%
Time:   65.13 sec, Epoch:   35, Testing error: 2.25000%
Time:   67.04 sec, Epoch:   36, Testing error: 2.26000%
Time:   68.96 sec, Epoch:   37, Testing error: 2.25000%
Time:   70.87 sec, Epoch:   38, Testing error: 2.27000%
Time:   72.80 sec, Epoch:   39, Testing error: 2.26000%
Time:   74.71 sec, Epoch:   40, Testing error: 2.26000%
Time:   76.63 sec, Epoch:   41, Testing error: 2.23000%
Time:   78.54 sec, Epoch:   42, Testing error: 2.24000%
Time:   80.46 sec, Epoch:   43, Testing error: 2.26000%
Time:   82.37 sec, Epoch:   44, Testing error: 2.26000%
Time:   84.29 sec, Epoch:   45, Testing error: 2.25000%
Time:   86.20 sec, Epoch:   46, Testing error: 2.24000%
Time:   88.12 sec, Epoch:   47, Testing error: 2.24000%
Time:   90.03 sec, Epoch:   48, Testing error: 2.23000%
Time:   91.94 sec, Epoch:   49, Testing error: 2.22000%
Time:   93.86 sec, Epoch:   50, Testing error: 2.21000%
Time:   95.77 sec, Epoch:   51, Testing error: 2.19000%
Time:   97.69 sec, Epoch:   52, Testing error: 2.18000%
Time:   99.60 sec, Epoch:   53, Testing error: 2.15000%
Time:  101.51 sec, Epoch:   54, Testing error: 2.15000%
Time:  103.43 sec, Epoch:   55, Testing error: 2.14000%
Time:  105.34 sec, Epoch:   56, Testing error: 2.15000%
Time:  107.26 sec, Epoch:   57, Testing error: 2.11000%
Time:  109.17 sec, Epoch:   58, Testing error: 2.07000%
Time:  111.08 sec, Epoch:   59, Testing error: 2.06000%
Time:  113.00 sec, Epoch:   60, Testing error: 2.06000%
Time:  114.91 sec, Epoch:   61, Testing error: 2.06000%
Time:  116.83 sec, Epoch:   62, Testing error: 2.05000%
Time:  118.74 sec, Epoch:   63, Testing error: 2.06000%
Time:  120.65 sec, Epoch:   64, Testing error: 2.05000%
Time:  122.57 sec, Epoch:   65, Testing error: 2.06000%
Time:  124.48 sec, Epoch:   66, Testing error: 2.06000%
Time:  126.40 sec, Epoch:   67, Testing error: 2.03000%
Time:  128.31 sec, Epoch:   68, Testing error: 2.03000%
Time:  130.22 sec, Epoch:   69, Testing error: 2.01000%
Time:  132.14 sec, Epoch:   70, Testing error: 2.01000%
Time:  134.05 sec, Epoch:   71, Testing error: 2.00000%
Time:  135.97 sec, Epoch:   72, Testing error: 1.99000%
Time:  137.88 sec, Epoch:   73, Testing error: 1.99000%
Time:  139.79 sec, Epoch:   74, Testing error: 1.98000%
Time:  141.71 sec, Epoch:   75, Testing error: 1.98000%
Time:  143.62 sec, Epoch:   76, Testing error: 1.96000%
Time:  145.54 sec, Epoch:   77, Testing error: 1.95000%
Time:  147.45 sec, Epoch:   78, Testing error: 1.93000%
Time:  149.36 sec, Epoch:   79, Testing error: 1.92000%
Time:  151.28 sec, Epoch:   80, Testing error: 1.92000%
Time:  153.19 sec, Epoch:   81, Testing error: 1.92000%
Time:  155.11 sec, Epoch:   82, Testing error: 1.91000%
Time:  157.02 sec, Epoch:   83, Testing error: 1.90000%
Time:  158.94 sec, Epoch:   84, Testing error: 1.90000%
Time:  160.85 sec, Epoch:   85, Testing error: 1.89000%
Time:  162.77 sec, Epoch:   86, Testing error: 1.89000%
Time:  164.68 sec, Epoch:   87, Testing error: 1.88000%
Time:  166.59 sec, Epoch:   88, Testing error: 1.88000%
Time:  168.51 sec, Epoch:   89, Testing error: 1.88000%
Time:  170.42 sec, Epoch:   90, Testing error: 1.86000%
Time:  172.34 sec, Epoch:   91, Testing error: 1.86000%
Time:  174.25 sec, Epoch:   92, Testing error: 1.86000%
