Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.56000%
Time:    1.93 sec, Epoch:    2, Testing error: 3.28000%
Time:    3.85 sec, Epoch:    3, Testing error: 2.74000%
Time:    5.78 sec, Epoch:    4, Testing error: 2.45000%
Time:    7.71 sec, Epoch:    5, Testing error: 2.30000%
Time:    9.63 sec, Epoch:    6, Testing error: 2.27000%
Time:   11.56 sec, Epoch:    7, Testing error: 2.15000%
Time:   13.50 sec, Epoch:    8, Testing error: 2.09000%
Time:   15.43 sec, Epoch:    9, Testing error: 2.07000%
Time:   17.36 sec, Epoch:   10, Testing error: 2.03000%
Time:   19.28 sec, Epoch:   11, Testing error: 2.01000%
Time:   21.21 sec, Epoch:   12, Testing error: 2.01000%
Time:   23.13 sec, Epoch:   13, Testing error: 2.00000%
Time:   25.06 sec, Epoch:   14, Testing error: 2.00000%
Time:   26.98 sec, Epoch:   15, Testing error: 1.95000%
Time:   28.90 sec, Epoch:   16, Testing error: 1.96000%
Time:   30.83 sec, Epoch:   17, Testing error: 1.93000%
Time:   32.75 sec, Epoch:   18, Testing error: 1.92000%
Time:   34.68 sec, Epoch:   19, Testing error: 1.88000%
Time:   36.60 sec, Epoch:   20, Testing error: 1.92000%
Time:   38.53 sec, Epoch:   21, Testing error: 1.91000%
Time:   40.45 sec, Epoch:   22, Testing error: 1.91000%
Time:   42.37 sec, Epoch:   23, Testing error: 1.88000%
Time:   44.30 sec, Epoch:   24, Testing error: 1.84000%
Time:   46.22 sec, Epoch:   25, Testing error: 1.87000%
Time:   48.15 sec, Epoch:   26, Testing error: 1.87000%
Time:   50.08 sec, Epoch:   27, Testing error: 1.85000%
Time:   52.00 sec, Epoch:   28, Testing error: 1.89000%
Time:   53.92 sec, Epoch:   29, Testing error: 1.86000%
Time:   55.85 sec, Epoch:   30, Testing error: 1.89000%
Time:   57.77 sec, Epoch:   31, Testing error: 1.88000%
Time:   59.70 sec, Epoch:   32, Testing error: 1.88000%
Time:   61.62 sec, Epoch:   33, Testing error: 1.85000%
Time:   63.55 sec, Epoch:   34, Testing error: 1.87000%
Time:   65.47 sec, Epoch:   35, Testing error: 1.88000%
Time:   67.40 sec, Epoch:   36, Testing error: 1.88000%
Time:   69.32 sec, Epoch:   37, Testing error: 1.89000%
Time:   71.25 sec, Epoch:   38, Testing error: 1.90000%
Time:   73.17 sec, Epoch:   39, Testing error: 1.87000%
Time:   75.09 sec, Epoch:   40, Testing error: 1.87000%
Time:   77.02 sec, Epoch:   41, Testing error: 1.87000%
Time:   78.94 sec, Epoch:   42, Testing error: 1.83000%
Time:   80.87 sec, Epoch:   43, Testing error: 1.84000%
Time:   82.79 sec, Epoch:   44, Testing error: 1.86000%
Time:   84.72 sec, Epoch:   45, Testing error: 1.84000%
Time:   86.64 sec, Epoch:   46, Testing error: 1.87000%
Time:   88.57 sec, Epoch:   47, Testing error: 1.83000%
Time:   90.49 sec, Epoch:   48, Testing error: 1.85000%
Time:   92.41 sec, Epoch:   49, Testing error: 1.82000%
Time:   94.34 sec, Epoch:   50, Testing error: 1.86000%
Time:   96.26 sec, Epoch:   51, Testing error: 1.84000%
Time:   98.19 sec, Epoch:   52, Testing error: 1.85000%
Time:  100.11 sec, Epoch:   53, Testing error: 1.84000%
Time:  102.03 sec, Epoch:   54, Testing error: 1.85000%
Time:  103.96 sec, Epoch:   55, Testing error: 1.81000%
Time:  105.88 sec, Epoch:   56, Testing error: 1.83000%
Time:  107.81 sec, Epoch:   57, Testing error: 1.84000%
Time:  109.73 sec, Epoch:   58, Testing error: 1.81000%
Time:  111.65 sec, Epoch:   59, Testing error: 1.83000%
Time:  113.58 sec, Epoch:   60, Testing error: 1.81000%
Time:  115.50 sec, Epoch:   61, Testing error: 1.84000%
Time:  117.42 sec, Epoch:   62, Testing error: 1.80000%
Time:  119.35 sec, Epoch:   63, Testing error: 1.82000%
Time:  121.27 sec, Epoch:   64, Testing error: 1.82000%
Time:  123.20 sec, Epoch:   65, Testing error: 1.80000%
Time:  125.12 sec, Epoch:   66, Testing error: 1.81000%
Time:  127.05 sec, Epoch:   67, Testing error: 1.81000%
Time:  128.97 sec, Epoch:   68, Testing error: 1.81000%
Time:  130.89 sec, Epoch:   69, Testing error: 1.80000%
Time:  132.82 sec, Epoch:   70, Testing error: 1.79000%
