Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 4.57000%
Time:    1.91 sec, Epoch:    2, Testing error: 3.38000%
Time:    3.82 sec, Epoch:    3, Testing error: 2.85000%
Time:    5.73 sec, Epoch:    4, Testing error: 2.55000%
Time:    7.64 sec, Epoch:    5, Testing error: 2.45000%
Time:    9.55 sec, Epoch:    6, Testing error: 2.39000%
Time:   11.46 sec, Epoch:    7, Testing error: 2.39000%
Time:   13.36 sec, Epoch:    8, Testing error: 2.27000%
Time:   15.27 sec, Epoch:    9, Testing error: 2.27000%
Time:   17.18 sec, Epoch:   10, Testing error: 2.22000%
Time:   19.08 sec, Epoch:   11, Testing error: 2.20000%
Time:   20.99 sec, Epoch:   12, Testing error: 2.21000%
Time:   22.90 sec, Epoch:   13, Testing error: 2.14000%
Time:   24.81 sec, Epoch:   14, Testing error: 2.12000%
Time:   26.71 sec, Epoch:   15, Testing error: 2.09000%
Time:   28.62 sec, Epoch:   16, Testing error: 2.07000%
Time:   30.53 sec, Epoch:   17, Testing error: 2.05000%
Time:   32.44 sec, Epoch:   18, Testing error: 2.05000%
Time:   34.35 sec, Epoch:   19, Testing error: 2.00000%
Time:   36.26 sec, Epoch:   20, Testing error: 1.98000%
Time:   38.17 sec, Epoch:   21, Testing error: 1.97000%
Time:   40.07 sec, Epoch:   22, Testing error: 1.95000%
Time:   41.98 sec, Epoch:   23, Testing error: 1.89000%
Time:   43.89 sec, Epoch:   24, Testing error: 1.90000%
Time:   45.80 sec, Epoch:   25, Testing error: 1.85000%
Time:   47.71 sec, Epoch:   26, Testing error: 1.80000%
Time:   49.62 sec, Epoch:   27, Testing error: 1.83000%
Time:   51.52 sec, Epoch:   28, Testing error: 1.81000%
Time:   53.43 sec, Epoch:   29, Testing error: 1.81000%
Time:   55.34 sec, Epoch:   30, Testing error: 1.80000%
Time:   57.24 sec, Epoch:   31, Testing error: 1.80000%
Time:   59.15 sec, Epoch:   32, Testing error: 1.78000%
Time:   61.06 sec, Epoch:   33, Testing error: 1.75000%
Time:   62.97 sec, Epoch:   34, Testing error: 1.79000%
Time:   64.87 sec, Epoch:   35, Testing error: 1.75000%
Time:   66.78 sec, Epoch:   36, Testing error: 1.77000%
Time:   68.69 sec, Epoch:   37, Testing error: 1.76000%
Time:   70.60 sec, Epoch:   38, Testing error: 1.77000%
Time:   72.51 sec, Epoch:   39, Testing error: 1.75000%
Time:   74.42 sec, Epoch:   40, Testing error: 1.77000%
Time:   76.32 sec, Epoch:   41, Testing error: 1.74000%
Time:   78.23 sec, Epoch:   42, Testing error: 1.73000%
Time:   80.14 sec, Epoch:   43, Testing error: 1.72000%
Time:   82.05 sec, Epoch:   44, Testing error: 1.74000%
Time:   83.95 sec, Epoch:   45, Testing error: 1.73000%
Time:   85.86 sec, Epoch:   46, Testing error: 1.74000%
Time:   87.77 sec, Epoch:   47, Testing error: 1.73000%
Time:   89.67 sec, Epoch:   48, Testing error: 1.73000%
Time:   91.58 sec, Epoch:   49, Testing error: 1.73000%
Time:   93.49 sec, Epoch:   50, Testing error: 1.73000%
Time:   95.39 sec, Epoch:   51, Testing error: 1.73000%
Time:   97.31 sec, Epoch:   52, Testing error: 1.71000%
Time:   99.22 sec, Epoch:   53, Testing error: 1.73000%
Time:  101.12 sec, Epoch:   54, Testing error: 1.71000%
Time:  103.05 sec, Epoch:   55, Testing error: 1.70000%
Time:  104.98 sec, Epoch:   56, Testing error: 1.73000%
