Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 5.22000%
Time:    1.92 sec, Epoch:    2, Testing error: 3.91000%
Time:    3.84 sec, Epoch:    3, Testing error: 3.49000%
Time:    5.78 sec, Epoch:    4, Testing error: 3.31000%
Time:    7.70 sec, Epoch:    5, Testing error: 3.14000%
Time:    9.62 sec, Epoch:    6, Testing error: 3.02000%
Time:   11.53 sec, Epoch:    7, Testing error: 2.95000%
Time:   13.45 sec, Epoch:    8, Testing error: 2.86000%
Time:   15.37 sec, Epoch:    9, Testing error: 2.83000%
Time:   17.29 sec, Epoch:   10, Testing error: 2.83000%
Time:   19.20 sec, Epoch:   11, Testing error: 2.80000%
Time:   21.12 sec, Epoch:   12, Testing error: 2.75000%
Time:   23.04 sec, Epoch:   13, Testing error: 2.70000%
Time:   24.95 sec, Epoch:   14, Testing error: 2.78000%
Time:   26.87 sec, Epoch:   15, Testing error: 2.80000%
Time:   28.80 sec, Epoch:   16, Testing error: 2.69000%
Time:   30.72 sec, Epoch:   17, Testing error: 2.76000%
Time:   32.63 sec, Epoch:   18, Testing error: 2.71000%
Time:   34.55 sec, Epoch:   19, Testing error: 2.66000%
Time:   36.47 sec, Epoch:   20, Testing error: 2.69000%
Time:   38.38 sec, Epoch:   21, Testing error: 2.70000%
Time:   40.30 sec, Epoch:   22, Testing error: 2.63000%
Time:   42.21 sec, Epoch:   23, Testing error: 2.64000%
Time:   44.13 sec, Epoch:   24, Testing error: 2.67000%
Time:   46.04 sec, Epoch:   25, Testing error: 2.64000%
Time:   47.96 sec, Epoch:   26, Testing error: 2.62000%
Time:   49.88 sec, Epoch:   27, Testing error: 2.59000%
Time:   51.80 sec, Epoch:   28, Testing error: 2.67000%
Time:   53.72 sec, Epoch:   29, Testing error: 2.60000%
Time:   55.64 sec, Epoch:   30, Testing error: 2.63000%
Time:   57.56 sec, Epoch:   31, Testing error: 2.63000%
Time:   59.47 sec, Epoch:   32, Testing error: 2.61000%
Time:   61.39 sec, Epoch:   33, Testing error: 2.66000%
Time:   63.31 sec, Epoch:   34, Testing error: 2.67000%
Time:   65.22 sec, Epoch:   35, Testing error: 2.63000%
Time:   67.14 sec, Epoch:   36, Testing error: 2.67000%
Time:   69.05 sec, Epoch:   37, Testing error: 2.62000%
Time:   70.97 sec, Epoch:   38, Testing error: 2.63000%
Time:   72.89 sec, Epoch:   39, Testing error: 2.64000%
Time:   74.80 sec, Epoch:   40, Testing error: 2.62000%
Time:   76.72 sec, Epoch:   41, Testing error: 2.59000%
Time:   78.64 sec, Epoch:   42, Testing error: 2.64000%
Time:   80.55 sec, Epoch:   43, Testing error: 2.61000%
Time:   82.47 sec, Epoch:   44, Testing error: 2.61000%
Time:   84.38 sec, Epoch:   45, Testing error: 2.62000%
Time:   86.30 sec, Epoch:   46, Testing error: 2.63000%
Time:   88.22 sec, Epoch:   47, Testing error: 2.60000%
Time:   90.13 sec, Epoch:   48, Testing error: 2.59000%
Time:   92.05 sec, Epoch:   49, Testing error: 2.59000%
Time:   93.97 sec, Epoch:   50, Testing error: 2.59000%
Time:   95.88 sec, Epoch:   51, Testing error: 2.59000%
Time:   97.80 sec, Epoch:   52, Testing error: 2.61000%
Time:   99.72 sec, Epoch:   53, Testing error: 2.59000%
Time:  101.63 sec, Epoch:   54, Testing error: 2.60000%
Time:  103.55 sec, Epoch:   55, Testing error: 2.64000%
Time:  105.47 sec, Epoch:   56, Testing error: 2.61000%
Time:  107.39 sec, Epoch:   57, Testing error: 2.61000%
Time:  109.30 sec, Epoch:   58, Testing error: 2.59000%
Time:  111.23 sec, Epoch:   59, Testing error: 2.63000%
Time:  113.15 sec, Epoch:   60, Testing error: 2.56000%
Time:  115.07 sec, Epoch:   61, Testing error: 2.56000%
Time:  116.99 sec, Epoch:   62, Testing error: 2.60000%
Time:  118.90 sec, Epoch:   63, Testing error: 2.55000%
Time:  120.82 sec, Epoch:   64, Testing error: 2.57000%
Time:  122.74 sec, Epoch:   65, Testing error: 2.58000%
Time:  124.66 sec, Epoch:   66, Testing error: 2.53000%
Time:  126.58 sec, Epoch:   67, Testing error: 2.55000%
Time:  128.50 sec, Epoch:   68, Testing error: 2.52000%
Time:  130.42 sec, Epoch:   69, Testing error: 2.55000%
Time:  132.33 sec, Epoch:   70, Testing error: 2.52000%
Time:  134.25 sec, Epoch:   71, Testing error: 2.51000%
Time:  136.17 sec, Epoch:   72, Testing error: 2.56000%
Time:  138.09 sec, Epoch:   73, Testing error: 2.54000%
Time:  140.01 sec, Epoch:   74, Testing error: 2.56000%
Time:  141.93 sec, Epoch:   75, Testing error: 2.54000%
Time:  143.84 sec, Epoch:   76, Testing error: 2.55000%
Time:  145.76 sec, Epoch:   77, Testing error: 2.55000%
Time:  147.68 sec, Epoch:   78, Testing error: 2.54000%
Time:  149.60 sec, Epoch:   79, Testing error: 2.57000%
Time:  151.52 sec, Epoch:   80, Testing error: 2.56000%
Time:  153.43 sec, Epoch:   81, Testing error: 2.54000%
Time:  155.35 sec, Epoch:   82, Testing error: 2.52000%
Time:  157.27 sec, Epoch:   83, Testing error: 2.55000%
Time:  159.19 sec, Epoch:   84, Testing error: 2.55000%
Time:  161.10 sec, Epoch:   85, Testing error: 2.56000%
Time:  163.02 sec, Epoch:   86, Testing error: 2.56000%
Time:  164.94 sec, Epoch:   87, Testing error: 2.55000%
Time:  166.86 sec, Epoch:   88, Testing error: 2.53000%
Time:  168.78 sec, Epoch:   89, Testing error: 2.51000%
Time:  170.70 sec, Epoch:   90, Testing error: 2.55000%
Time:  172.61 sec, Epoch:   91, Testing error: 2.55000%
Time:  174.53 sec, Epoch:   92, Testing error: 2.53000%
Time:  176.45 sec, Epoch:   93, Testing error: 2.51000%
Time:  178.37 sec, Epoch:   94, Testing error: 2.56000%
Time:  180.29 sec, Epoch:   95, Testing error: 2.57000%
Time:  182.20 sec, Epoch:   96, Testing error: 2.55000%
Time:  184.12 sec, Epoch:   97, Testing error: 2.54000%
Time:  186.04 sec, Epoch:   98, Testing error: 2.55000%
Time:  187.96 sec, Epoch:   99, Testing error: 2.54000%
Time:  189.88 sec, Epoch:  100, Testing error: 2.52000%
Time:  191.80 sec, Epoch:  101, Testing error: 2.54000%
Time:  193.71 sec, Epoch:  102, Testing error: 2.54000%
Time:  195.63 sec, Epoch:  103, Testing error: 2.54000%
Time:  197.55 sec, Epoch:  104, Testing error: 2.52000%
Time:  199.47 sec, Epoch:  105, Testing error: 2.53000%
Time:  201.38 sec, Epoch:  106, Testing error: 2.54000%
Time:  203.30 sec, Epoch:  107, Testing error: 2.55000%
Time:  205.22 sec, Epoch:  108, Testing error: 2.55000%
Time:  207.14 sec, Epoch:  109, Testing error: 2.54000%
Time:  209.06 sec, Epoch:  110, Testing error: 2.55000%
Time:  210.98 sec, Epoch:  111, Testing error: 2.52000%
Time:  212.89 sec, Epoch:  112, Testing error: 2.56000%
Time:  214.81 sec, Epoch:  113, Testing error: 2.55000%
Time:  216.73 sec, Epoch:  114, Testing error: 2.53000%
Time:  218.64 sec, Epoch:  115, Testing error: 2.57000%
Time:  220.57 sec, Epoch:  116, Testing error: 2.54000%
Time:  222.51 sec, Epoch:  117, Testing error: 2.55000%
Time:  224.43 sec, Epoch:  118, Testing error: 2.52000%
Time:  226.35 sec, Epoch:  119, Testing error: 2.50000%
Time:  228.26 sec, Epoch:  120, Testing error: 2.51000%
Time:  230.18 sec, Epoch:  121, Testing error: 2.49000%
Time:  232.10 sec, Epoch:  122, Testing error: 2.53000%
Time:  234.01 sec, Epoch:  123, Testing error: 2.52000%
Time:  235.93 sec, Epoch:  124, Testing error: 2.54000%
Time:  237.85 sec, Epoch:  125, Testing error: 2.50000%
Time:  239.77 sec, Epoch:  126, Testing error: 2.55000%
Time:  241.69 sec, Epoch:  127, Testing error: 2.52000%
Time:  243.60 sec, Epoch:  128, Testing error: 2.55000%
Time:  245.52 sec, Epoch:  129, Testing error: 2.53000%
Time:  247.44 sec, Epoch:  130, Testing error: 2.53000%
Time:  249.35 sec, Epoch:  131, Testing error: 2.51000%
Time:  251.27 sec, Epoch:  132, Testing error: 2.53000%
Time:  253.19 sec, Epoch:  133, Testing error: 2.55000%
Time:  255.11 sec, Epoch:  134, Testing error: 2.52000%
Time:  257.03 sec, Epoch:  135, Testing error: 2.54000%
Time:  258.94 sec, Epoch:  136, Testing error: 2.53000%
Time:  260.86 sec, Epoch:  137, Testing error: 2.54000%
Time:  262.78 sec, Epoch:  138, Testing error: 2.53000%
Time:  264.70 sec, Epoch:  139, Testing error: 2.51000%
Time:  266.61 sec, Epoch:  140, Testing error: 2.50000%
Time:  268.53 sec, Epoch:  141, Testing error: 2.53000%
Time:  270.45 sec, Epoch:  142, Testing error: 2.53000%
Time:  272.37 sec, Epoch:  143, Testing error: 2.53000%
Time:  274.29 sec, Epoch:  144, Testing error: 2.52000%
Time:  276.21 sec, Epoch:  145, Testing error: 2.53000%
Time:  278.12 sec, Epoch:  146, Testing error: 2.53000%
Time:  280.04 sec, Epoch:  147, Testing error: 2.51000%
Time:  281.96 sec, Epoch:  148, Testing error: 2.52000%
Time:  283.88 sec, Epoch:  149, Testing error: 2.54000%
Time:  285.80 sec, Epoch:  150, Testing error: 2.54000%
Time:  287.71 sec, Epoch:  151, Testing error: 2.51000%
Time:  289.63 sec, Epoch:  152, Testing error: 2.51000%
Time:  291.55 sec, Epoch:  153, Testing error: 2.52000%
Time:  293.47 sec, Epoch:  154, Testing error: 2.52000%
Time:  295.38 sec, Epoch:  155, Testing error: 2.52000%
Time:  297.30 sec, Epoch:  156, Testing error: 2.51000%
Time:  299.22 sec, Epoch:  157, Testing error: 2.51000%
Time:  301.14 sec, Epoch:  158, Testing error: 2.49000%
Time:  303.06 sec, Epoch:  159, Testing error: 2.51000%
Time:  304.98 sec, Epoch:  160, Testing error: 2.50000%
Time:  306.89 sec, Epoch:  161, Testing error: 2.50000%
Time:  308.81 sec, Epoch:  162, Testing error: 2.51000%
Time:  310.73 sec, Epoch:  163, Testing error: 2.53000%
Time:  312.65 sec, Epoch:  164, Testing error: 2.51000%
Time:  314.56 sec, Epoch:  165, Testing error: 2.52000%
Time:  316.48 sec, Epoch:  166, Testing error: 2.53000%
Time:  318.40 sec, Epoch:  167, Testing error: 2.51000%
Time:  320.32 sec, Epoch:  168, Testing error: 2.52000%
Time:  322.23 sec, Epoch:  169, Testing error: 2.52000%
Time:  324.15 sec, Epoch:  170, Testing error: 2.52000%
Time:  326.07 sec, Epoch:  171, Testing error: 2.51000%
Time:  327.99 sec, Epoch:  172, Testing error: 2.52000%
Time:  329.90 sec, Epoch:  173, Testing error: 2.52000%
Time:  331.82 sec, Epoch:  174, Testing error: 2.50000%
Time:  333.74 sec, Epoch:  175, Testing error: 2.51000%
Time:  335.66 sec, Epoch:  176, Testing error: 2.52000%
Time:  337.57 sec, Epoch:  177, Testing error: 2.50000%
Time:  339.49 sec, Epoch:  178, Testing error: 2.52000%
Time:  341.41 sec, Epoch:  179, Testing error: 2.51000%
Time:  343.33 sec, Epoch:  180, Testing error: 2.52000%
Time:  345.25 sec, Epoch:  181, Testing error: 2.50000%
Time:  347.16 sec, Epoch:  182, Testing error: 2.50000%
Time:  349.08 sec, Epoch:  183, Testing error: 2.54000%
Time:  351.00 sec, Epoch:  184, Testing error: 2.48000%
Time:  352.92 sec, Epoch:  185, Testing error: 2.51000%
Time:  354.83 sec, Epoch:  186, Testing error: 2.52000%
Time:  356.75 sec, Epoch:  187, Testing error: 2.50000%
Time:  358.67 sec, Epoch:  188, Testing error: 2.52000%
Time:  360.59 sec, Epoch:  189, Testing error: 2.50000%
Time:  362.50 sec, Epoch:  190, Testing error: 2.52000%
Time:  364.42 sec, Epoch:  191, Testing error: 2.50000%
Time:  366.34 sec, Epoch:  192, Testing error: 2.50000%
Time:  368.25 sec, Epoch:  193, Testing error: 2.51000%
Time:  370.17 sec, Epoch:  194, Testing error: 2.51000%
Time:  372.09 sec, Epoch:  195, Testing error: 2.52000%
Time:  374.01 sec, Epoch:  196, Testing error: 2.49000%
Time:  375.93 sec, Epoch:  197, Testing error: 2.49000%
Time:  377.84 sec, Epoch:  198, Testing error: 2.49000%
Time:  379.76 sec, Epoch:  199, Testing error: 2.55000%
Time:  381.68 sec, Epoch:  200, Testing error: 2.49000%
Training completed after 383.59 seconds. 200 epochs at 0.52 epochs / second. Testing error: 2.49000%
