Loading dataset 'training' from file...
Loading dataset 'testing' from file...
Creating shared Theano dataset variables...
Starting stochastic gradient descent. num_training_examples=60000
Time:    0.00 sec, Epoch:    1, Testing error: 7.62000%
Time:    1.92 sec, Epoch:    2, Testing error: 4.97000%
Time:    3.87 sec, Epoch:    3, Testing error: 3.92000%
Time:    5.78 sec, Epoch:    4, Testing error: 3.37000%
Time:    7.70 sec, Epoch:    5, Testing error: 3.14000%
Time:    9.62 sec, Epoch:    6, Testing error: 2.83000%
Time:   11.53 sec, Epoch:    7, Testing error: 2.79000%
Time:   13.45 sec, Epoch:    8, Testing error: 2.74000%
Time:   15.37 sec, Epoch:    9, Testing error: 2.67000%
Time:   17.29 sec, Epoch:   10, Testing error: 2.66000%
Time:   19.20 sec, Epoch:   11, Testing error: 2.56000%
Time:   21.12 sec, Epoch:   12, Testing error: 2.53000%
Time:   23.03 sec, Epoch:   13, Testing error: 2.48000%
Time:   24.95 sec, Epoch:   14, Testing error: 2.52000%
Time:   26.86 sec, Epoch:   15, Testing error: 2.49000%
Time:   28.78 sec, Epoch:   16, Testing error: 2.46000%
Time:   30.69 sec, Epoch:   17, Testing error: 2.38000%
Time:   32.61 sec, Epoch:   18, Testing error: 2.39000%
Time:   34.52 sec, Epoch:   19, Testing error: 2.37000%
Time:   36.44 sec, Epoch:   20, Testing error: 2.33000%
Time:   38.37 sec, Epoch:   21, Testing error: 2.31000%
Time:   40.28 sec, Epoch:   22, Testing error: 2.25000%
Time:   42.20 sec, Epoch:   23, Testing error: 2.21000%
Time:   44.11 sec, Epoch:   24, Testing error: 2.15000%
Time:   46.03 sec, Epoch:   25, Testing error: 2.13000%
Time:   47.94 sec, Epoch:   26, Testing error: 2.13000%
Time:   49.86 sec, Epoch:   27, Testing error: 2.13000%
Time:   51.77 sec, Epoch:   28, Testing error: 2.12000%
Time:   53.69 sec, Epoch:   29, Testing error: 2.13000%
Time:   55.61 sec, Epoch:   30, Testing error: 2.11000%
Time:   57.53 sec, Epoch:   31, Testing error: 2.11000%
Time:   59.44 sec, Epoch:   32, Testing error: 2.12000%
Time:   61.36 sec, Epoch:   33, Testing error: 2.12000%
Time:   63.27 sec, Epoch:   34, Testing error: 2.10000%
Time:   65.19 sec, Epoch:   35, Testing error: 2.08000%
Time:   67.10 sec, Epoch:   36, Testing error: 2.06000%
Time:   69.02 sec, Epoch:   37, Testing error: 2.07000%
Time:   70.93 sec, Epoch:   38, Testing error: 2.07000%
Time:   72.84 sec, Epoch:   39, Testing error: 2.05000%
Time:   74.76 sec, Epoch:   40, Testing error: 2.05000%
Time:   76.68 sec, Epoch:   41, Testing error: 2.05000%
Time:   78.59 sec, Epoch:   42, Testing error: 2.03000%
Time:   80.51 sec, Epoch:   43, Testing error: 2.01000%
Time:   82.43 sec, Epoch:   44, Testing error: 2.00000%
Time:   84.34 sec, Epoch:   45, Testing error: 2.00000%
Time:   86.26 sec, Epoch:   46, Testing error: 2.00000%
Time:   88.17 sec, Epoch:   47, Testing error: 1.99000%
Time:   90.09 sec, Epoch:   48, Testing error: 1.99000%
Time:   92.00 sec, Epoch:   49, Testing error: 2.00000%
Time:   93.92 sec, Epoch:   50, Testing error: 1.99000%
Time:   95.83 sec, Epoch:   51, Testing error: 1.99000%
Time:   97.75 sec, Epoch:   52, Testing error: 2.00000%
Time:   99.66 sec, Epoch:   53, Testing error: 1.97000%
Time:  101.57 sec, Epoch:   54, Testing error: 1.98000%
Time:  103.49 sec, Epoch:   55, Testing error: 1.98000%
Time:  105.41 sec, Epoch:   56, Testing error: 1.97000%
Time:  107.32 sec, Epoch:   57, Testing error: 1.96000%
Time:  109.23 sec, Epoch:   58, Testing error: 1.95000%
Time:  111.15 sec, Epoch:   59, Testing error: 1.94000%
Time:  113.06 sec, Epoch:   60, Testing error: 1.94000%
Time:  114.98 sec, Epoch:   61, Testing error: 1.92000%
Time:  116.89 sec, Epoch:   62, Testing error: 1.92000%
Time:  118.81 sec, Epoch:   63, Testing error: 1.91000%
Time:  120.72 sec, Epoch:   64, Testing error: 1.91000%
Time:  122.64 sec, Epoch:   65, Testing error: 1.91000%
Time:  124.56 sec, Epoch:   66, Testing error: 1.92000%
Time:  126.48 sec, Epoch:   67, Testing error: 1.92000%
Time:  128.39 sec, Epoch:   68, Testing error: 1.92000%
Time:  130.31 sec, Epoch:   69, Testing error: 1.92000%
Time:  132.22 sec, Epoch:   70, Testing error: 1.92000%
Time:  134.13 sec, Epoch:   71, Testing error: 1.92000%
Time:  136.05 sec, Epoch:   72, Testing error: 1.92000%
Time:  137.96 sec, Epoch:   73, Testing error: 1.91000%
Time:  139.88 sec, Epoch:   74, Testing error: 1.92000%
Time:  141.79 sec, Epoch:   75, Testing error: 1.93000%
Time:  143.70 sec, Epoch:   76, Testing error: 1.93000%
Time:  145.62 sec, Epoch:   77, Testing error: 1.93000%
Time:  147.54 sec, Epoch:   78, Testing error: 1.93000%
Time:  149.46 sec, Epoch:   79, Testing error: 1.94000%
Time:  151.37 sec, Epoch:   80, Testing error: 1.94000%
Time:  153.29 sec, Epoch:   81, Testing error: 1.94000%
Time:  155.20 sec, Epoch:   82, Testing error: 1.94000%
Time:  157.12 sec, Epoch:   83, Testing error: 1.94000%
Time:  159.03 sec, Epoch:   84, Testing error: 1.94000%
Time:  160.95 sec, Epoch:   85, Testing error: 1.94000%
Time:  162.86 sec, Epoch:   86, Testing error: 1.94000%
Time:  164.77 sec, Epoch:   87, Testing error: 1.94000%
Time:  166.69 sec, Epoch:   88, Testing error: 1.94000%
Time:  168.61 sec, Epoch:   89, Testing error: 1.93000%
Time:  170.52 sec, Epoch:   90, Testing error: 1.91000%
Time:  172.44 sec, Epoch:   91, Testing error: 1.91000%
Time:  174.36 sec, Epoch:   92, Testing error: 1.92000%
Time:  176.27 sec, Epoch:   93, Testing error: 1.92000%
Time:  178.19 sec, Epoch:   94, Testing error: 1.92000%
Time:  180.10 sec, Epoch:   95, Testing error: 1.92000%
Time:  182.02 sec, Epoch:   96, Testing error: 1.92000%
Time:  183.93 sec, Epoch:   97, Testing error: 1.92000%
Time:  185.85 sec, Epoch:   98, Testing error: 1.92000%
Time:  187.76 sec, Epoch:   99, Testing error: 1.92000%
Time:  189.68 sec, Epoch:  100, Testing error: 1.92000%
Time:  191.60 sec, Epoch:  101, Testing error: 1.91000%
Time:  193.52 sec, Epoch:  102, Testing error: 1.91000%
Time:  195.44 sec, Epoch:  103, Testing error: 1.90000%
Time:  197.35 sec, Epoch:  104, Testing error: 1.90000%
Time:  199.27 sec, Epoch:  105, Testing error: 1.90000%
Time:  201.18 sec, Epoch:  106, Testing error: 1.90000%
Time:  203.09 sec, Epoch:  107, Testing error: 1.90000%
Time:  205.01 sec, Epoch:  108, Testing error: 1.90000%
Time:  206.92 sec, Epoch:  109, Testing error: 1.90000%
Time:  208.84 sec, Epoch:  110, Testing error: 1.91000%
Time:  210.75 sec, Epoch:  111, Testing error: 1.91000%
Time:  212.66 sec, Epoch:  112, Testing error: 1.91000%
Time:  214.58 sec, Epoch:  113, Testing error: 1.91000%
Time:  216.50 sec, Epoch:  114, Testing error: 1.91000%
Time:  218.41 sec, Epoch:  115, Testing error: 1.92000%
Time:  220.33 sec, Epoch:  116, Testing error: 1.92000%
Time:  222.24 sec, Epoch:  117, Testing error: 1.92000%
Time:  224.16 sec, Epoch:  118, Testing error: 1.92000%
Time:  226.07 sec, Epoch:  119, Testing error: 1.92000%
Time:  227.99 sec, Epoch:  120, Testing error: 1.92000%
Time:  229.90 sec, Epoch:  121, Testing error: 1.92000%
Time:  231.82 sec, Epoch:  122, Testing error: 1.92000%
Time:  233.73 sec, Epoch:  123, Testing error: 1.91000%
Time:  235.64 sec, Epoch:  124, Testing error: 1.91000%
Time:  237.56 sec, Epoch:  125, Testing error: 1.90000%
Time:  239.48 sec, Epoch:  126, Testing error: 1.90000%
Time:  241.39 sec, Epoch:  127, Testing error: 1.90000%
Time:  243.31 sec, Epoch:  128, Testing error: 1.90000%
Time:  245.22 sec, Epoch:  129, Testing error: 1.90000%
Time:  247.14 sec, Epoch:  130, Testing error: 1.90000%
Time:  249.05 sec, Epoch:  131, Testing error: 1.90000%
Time:  250.97 sec, Epoch:  132, Testing error: 1.90000%
Time:  252.88 sec, Epoch:  133, Testing error: 1.90000%
Time:  254.80 sec, Epoch:  134, Testing error: 1.90000%
Time:  256.71 sec, Epoch:  135, Testing error: 1.90000%
Time:  258.63 sec, Epoch:  136, Testing error: 1.90000%
Time:  260.55 sec, Epoch:  137, Testing error: 1.90000%
Time:  262.47 sec, Epoch:  138, Testing error: 1.90000%
Time:  264.39 sec, Epoch:  139, Testing error: 1.90000%
Time:  266.30 sec, Epoch:  140, Testing error: 1.90000%
Time:  268.22 sec, Epoch:  141, Testing error: 1.90000%
Time:  270.13 sec, Epoch:  142, Testing error: 1.90000%
Time:  272.05 sec, Epoch:  143, Testing error: 1.89000%
Time:  273.96 sec, Epoch:  144, Testing error: 1.89000%
Time:  275.88 sec, Epoch:  145, Testing error: 1.89000%
Time:  277.79 sec, Epoch:  146, Testing error: 1.89000%
Time:  279.71 sec, Epoch:  147, Testing error: 1.89000%
Time:  281.62 sec, Epoch:  148, Testing error: 1.89000%
Time:  283.54 sec, Epoch:  149, Testing error: 1.89000%
Time:  285.46 sec, Epoch:  150, Testing error: 1.89000%
Time:  287.37 sec, Epoch:  151, Testing error: 1.89000%
Time:  289.29 sec, Epoch:  152, Testing error: 1.89000%
Time:  291.21 sec, Epoch:  153, Testing error: 1.89000%
Time:  293.13 sec, Epoch:  154, Testing error: 1.89000%
Time:  295.04 sec, Epoch:  155, Testing error: 1.89000%
Time:  296.96 sec, Epoch:  156, Testing error: 1.89000%
Time:  298.87 sec, Epoch:  157, Testing error: 1.89000%
Time:  300.79 sec, Epoch:  158, Testing error: 1.89000%
Time:  302.70 sec, Epoch:  159, Testing error: 1.89000%
Time:  304.61 sec, Epoch:  160, Testing error: 1.89000%
Time:  306.53 sec, Epoch:  161, Testing error: 1.89000%
Time:  308.45 sec, Epoch:  162, Testing error: 1.89000%
Time:  310.37 sec, Epoch:  163, Testing error: 1.89000%
Time:  312.28 sec, Epoch:  164, Testing error: 1.89000%
Time:  314.20 sec, Epoch:  165, Testing error: 1.89000%
Time:  316.11 sec, Epoch:  166, Testing error: 1.89000%
Time:  318.03 sec, Epoch:  167, Testing error: 1.89000%
Time:  319.94 sec, Epoch:  168, Testing error: 1.89000%
Time:  321.86 sec, Epoch:  169, Testing error: 1.89000%
Time:  323.78 sec, Epoch:  170, Testing error: 1.90000%
Time:  325.69 sec, Epoch:  171, Testing error: 1.90000%
Time:  327.60 sec, Epoch:  172, Testing error: 1.90000%
Time:  329.52 sec, Epoch:  173, Testing error: 1.90000%
Time:  331.45 sec, Epoch:  174, Testing error: 1.90000%
Time:  333.36 sec, Epoch:  175, Testing error: 1.89000%
Time:  335.28 sec, Epoch:  176, Testing error: 1.89000%
